Marka;Model;Seri;Yıl;Kilometre;Renk;Fiyat;Yer;Yakıt Tipi;Vites Tipi;Kasa Tipi;Motor Hacmi;Motor Gücü;Yakıt Deposu;Çekiş;Kimden
BMW;116i M Sport;1 Serisi;2008;175000;Beyaz;690000;Adnan Menderes Mh. Ergani, Diyarbakır;LPG & Benzin;Otomatik;Hatchback/3;1597 cc;116 hp;53 lt;Arkadan İtiş;Sahibinden
BMW;320d Standart;3 Serisi;2005;338000;Bordo;620000;Şifa Mh. Tuzla, İstanbul;Dizel;Otomatik;Sedan;1995 cc;150 hp;63 lt;Arkadan İtiş;Sahibinden
BMW;116i Standart;1 Serisi;2012;268000;Beyaz;835000;Kısıklı Mh. Üsküdar, İstanbul;Benzin;Otomatik;Hatchback/5;1598 cc;136 hp;52 lt;Arkadan İtiş;Sahibinden
BMW;320i ED Standart;3 Serisi;2014;191000;Beyaz;1019900;Beyazıt Mh. Yıldırım, Bursa;Benzin;Otomatik;Sedan;1598 cc;170 hp;60 lt;Arkadan İtiş;Sahibinden
BMW;116i Joy Edition;1 Serisi;2014;140000;Beyaz;870000;Barbaros Mh. Çankaya, Ankara;Benzin;Otomatik;Hatchback/5;1598 cc;136 hp;52 lt;Arkadan İtiş;Sahibinden
BMW;116d ED EfficientDynamics;1 Serisi;2013;330000;Siyah;650000;Bahçelievler Mh. Seydişehir, Konya;Dizel;Düz;Hatchback/5;1598 cc;116 hp;52 lt;Arkadan İtiş;Sahibinden
BMW;520d Premium;5 Serisi;2010;364000;Siyah;870000;Hacıkumru Mh. Divriği, Sivas;Dizel;Otomatik;Sedan;1995 cc;177 hp;70 lt;Arkadan İtiş;Sahibinden
BMW;520d Exclusive;5 Serisi;2011;261000;Siyah;1249000;Ovacık Mh. Keçiören, Ankara;Dizel;Otomatik;Sedan;1995 cc;184 hp;70 lt;Arkadan İtiş;Sahibinden
BMW;320i ED 40th Year Edition;3 Serisi;2015;171000;Mavi;1599999;Bağlıca Mh. Etimesgut, Ankara;Benzin;Otomatik;Sedan;1598 cc;170 hp;60 lt;Arkadan İtiş;Sahibinden
BMW;316i M Sport;3 Serisi;2013;171246;Beyaz;1250000;Numune Mh. İskenderun, Hatay;Benzin;Otomatik;Sedan;;;;;Sahibinden
BMW;320d M Sport;3 Serisi;2012;215000;Beyaz;830000;Meydan Mh. İskilip, Çorum;Dizel;Otomatik;-;1995 cc;184 hp;61 lt;Arkadan İtiş;Sahibinden
