date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
17.06.2007;Celta Vigo;Getafe;2;1;La Liga;Mostly Cloudy;S;8 mph;Veri Yok;Veri Yok;Veri Yok
17.06.2007;R. Santander;Real Betis;0;2;La Liga;Mostly Cloudy;S;8 mph;63 °F;88 %;27.91 in
17.06.2007;Valencia;R. Sociedad;3;3;La Liga;Partly Cloudy;NW;2 mph;73 °F;65 %;29.67 in
17.06.2007;Ath. Bilbao;Levante;2;0;La Liga;Mostly Cloudy;SE;8 mph;73 °F;57 %;29.65 in
17.06.2007;Espanyol;Deportivo;1;3;La Liga;Mostly Cloudy;S;8 mph;63 °F;88 %;27.91 in
17.06.2007;Gimnastic;Barcelona;1;5;La Liga;Mostly Cloudy;S;8 mph;63 °F;88 %;27.91 in
17.06.2007;Osasuna;Atl. Madrid;1;2;La Liga;Mostly Cloudy;CALM;0 mph;68 °F;78 %;29.52 in
17.06.2007;Sevilla;Villarreal;0;1;La Liga;Mostly Cloudy;S;8 mph;63 °F;88 %;27.91 in
17.06.2007;Real Madrid;Mallorca;3;1;La Liga;Mostly Cloudy;S;8 mph;63 °F;88 %;27.91 in
17.06.2007;Huelva;Real Zaragoza;1;1;La Liga;Mostly Cloudy;S;8 mph;63 °F;88 %;27.91 in
09.06.2007;Barcelona;Espanyol;2;2;La Liga;Fair;WSW;3 mph;66 °F;88 %;30.01 in
09.06.2007;Atl. Madrid;Celta Vigo;2;3;La Liga;Mostly Cloudy;NW;3 mph;73 °F;50 %;28.02 in
09.06.2007;Real Betis;Osasuna;0;5;La Liga;Fair;ENE;8 mph;72 °F;69 %;29.81 in
09.06.2007;R. Sociedad;R. Santander;0;0;La Liga;Mostly Cloudy;NW;3 mph;73 °F;50 %;28.02 in
09.06.2007;Levante;Valencia;4;2;La Liga;Mostly Cloudy;NW;3 mph;73 °F;50 %;28.02 in
09.06.2007;Villarreal;Ath. Bilbao;3;1;La Liga;Mostly Cloudy;WNW;17 mph;70 °F;73 %;29.97 in
09.06.2007;Mallorca;Sevilla;0;0;La Liga;N/A;W;5 mph;67 °F;45 %;28.04 in
09.06.2007;Real Zaragoza;Real Madrid;2;2;La Liga;Mostly Cloudy;NW;3 mph;73 °F;50 %;28.02 in
10.06.2007;Getafe;Gimnastic;0;1;La Liga;Fair;NNE;3 mph;73 °F;50 %;29.75 in
10.06.2007;Deportivo;Huelva;2;5;La Liga;Partly Cloudy;SE;5 mph;68 °F;56 %;27.96 in
26.05.2007;Valencia;Villarreal;2;3;La Liga;Fair;W;9 mph;66 °F;52 %;29.52 in
26.05.2007;Real Madrid;Deportivo;3;1;La Liga;Mostly Cloudy;S;5 mph;52 °F;94 %;27.85 in
26.05.2007;Barcelona;Getafe;1;0;La Liga;Mostly Cloudy;VAR;2 mph;66 °F;88 %;29.66 in
27.05.2007;Celta Vigo;Real Betis;2;1;La Liga;Mostly Cloudy;VAR;2 mph;57 °F;82 %;27.85 in
27.05.2007;Osasuna;R. Sociedad;2;0;La Liga;Mostly Cloudy;CALM;0 mph;63 °F;100 %;29.44 in
27.05.2007;R. Santander;Levante;2;3;La Liga;Mostly Cloudy;VAR;2 mph;57 °F;82 %;27.85 in
27.05.2007;Ath. Bilbao;Mallorca;1;0;La Liga;Mostly Cloudy;VAR;2 mph;55 °F;72 %;29.79 in
27.05.2007;Huelva;Espanyol;0;1;La Liga;Mostly Cloudy;VAR;2 mph;57 °F;82 %;27.85 in
27.05.2007;Gimnastic;Atl. Madrid;0;2;La Liga;Mostly Cloudy;VAR;2 mph;57 °F;82 %;27.85 in
27.05.2007;Sevilla;Real Zaragoza;3;1;La Liga;Mostly Cloudy;VAR;2 mph;57 °F;82 %;27.85 in
19.05.2007;Real Betis;Gimnastic;1;1;La Liga;Fair;ENE;8 mph;72 °F;64 %;29.72 in
19.05.2007;Mallorca;Valencia;0;1;La Liga;N/A;;0 mph;61 °F;52 %;27.95 in
19.05.2007;Real Zaragoza;Ath. Bilbao;4;3;La Liga;Fair;NNW;6 mph;72 °F;53 %;27.93 in
20.05.2007;Espanyol;Getafe;1;5;La Liga;Partly Cloudy;NE;6 mph;66 °F;64 %;27.82 in
20.05.2007;R. Sociedad;Celta Vigo;3;1;La Liga;Partly Cloudy;NE;6 mph;66 °F;64 %;27.82 in
20.05.2007;Levante;Osasuna;1;4;La Liga;Partly Cloudy;NE;6 mph;66 °F;64 %;27.82 in
20.05.2007;Villarreal;R. Santander;2;1;La Liga;Mostly Cloudy;VAR;2 mph;61 °F;82 %;29.79 in
20.05.2007;Deportivo;Sevilla;1;2;La Liga;Partly Cloudy;NE;6 mph;66 °F;64 %;27.82 in
20.05.2007;Huelva;Real Madrid;2;3;La Liga;Partly Cloudy;NE;6 mph;66 °F;64 %;27.82 in
20.05.2007;Atl. Madrid;Barcelona;0;6;La Liga;Partly Cloudy;NE;6 mph;66 °F;64 %;27.82 in
12.05.2007;Real Madrid;Espanyol;4;3;La Liga;Fair;S;6 mph;64 °F;40 %;28.07 in
12.05.2007;Sevilla;Huelva;2;1;La Liga;Fair;S;6 mph;64 °F;40 %;28.07 in
13.05.2007;Getafe;Atl. Madrid;1;4;La Liga;Fair;SSW;3 mph;66 °F;68 %;29.72 in
13.05.2007;Gimnastic;R. Sociedad;1;3;La Liga;Fair;ESE;2 mph;64 °F;56 %;27.91 in
13.05.2007;Celta Vigo;Levante;1;2;La Liga;Fair;ESE;2 mph;64 °F;56 %;27.91 in
13.05.2007;Osasuna;Villarreal;1;4;La Liga;Fair;CALM;0 mph;61 °F;82 %;29.58 in
13.05.2007;R. Santander;Mallorca;0;2;La Liga;Fair;ESE;2 mph;64 °F;56 %;27.91 in
13.05.2007;Ath. Bilbao;Deportivo;1;1;La Liga;Fair;VAR;1 mph;66 °F;68 %;29.59 in
13.05.2007;Barcelona;Real Betis;1;1;La Liga;Fair;WSW;5 mph;64 °F;73 %;29.92 in
13.05.2007;Valencia;Real Zaragoza;2;0;La Liga;Fair;SSW;3 mph;66 °F;68 %;29.72 in
05.05.2007;R. Sociedad;Barcelona;0;2;La Liga;Fair;NW;6 mph;52 °F;71 %;27.93 in
05.05.2007;Deportivo;Valencia;1;2;La Liga;Fair;NW;6 mph;52 °F;71 %;27.93 in
06.05.2007;Real Betis;Getafe;0;2;La Liga;Fair;N;12 mph;64 °F;37 %;29.78 in
06.05.2007;Levante;Gimnastic;2;0;La Liga;Partly Cloudy;N;9 mph;52 °F;58 %;28.13 in
06.05.2007;Villarreal;Celta Vigo;1;0;La Liga;Mostly Cloudy;WNW;14 mph;57 °F;72 %;30.15 in
06.05.2007;Mallorca;Osasuna;3;1;La Liga;N/A;WSW;2 mph;52 °F;74 %;28.11 in
06.05.2007;Real Zaragoza;R. Santander;0;0;La Liga;Partly Cloudy;N;9 mph;52 °F;58 %;28.13 in
06.05.2007;Huelva;Ath. Bilbao;0;0;La Liga;Partly Cloudy;N;9 mph;52 °F;58 %;28.13 in
06.05.2007;Espanyol;Atl. Madrid;2;1;La Liga;Partly Cloudy;N;9 mph;52 °F;58 %;28.13 in
06.05.2007;Real Madrid;Sevilla;3;2;La Liga;Partly Cloudy;N;9 mph;52 °F;58 %;28.13 in
28.04.2007;Atl. Madrid;Real Betis;0;0;La Liga;Fair;NNW;6 mph;48 °F;87 %;28.04 in
28.04.2007;Valencia;Huelva;2;0;La Liga;Mostly Cloudy;NNW;10 mph;57 °F;88 %;29.84 in
29.04.2007;Getafe;R. Sociedad;1;0;La Liga;Mostly Cloudy;VAR;2 mph;61 °F;88 %;29.81 in
29.04.2007;Gimnastic;Villarreal;0;3;La Liga;Partly Cloudy;NNE;3 mph;48 °F;87 %;28.02 in
29.04.2007;Celta Vigo;Mallorca;0;3;La Liga;Partly Cloudy;NNE;3 mph;48 °F;87 %;28.02 in
29.04.2007;Osasuna;Real Zaragoza;2;2;La Liga;Fair;CALM;0 mph;57 °F;94 %;29.76 in
29.04.2007;R. Santander;Deportivo;0;0;La Liga;Partly Cloudy;NNE;3 mph;48 °F;87 %;28.02 in
29.04.2007;Sevilla;Espanyol;3;1;La Liga;Partly Cloudy;NNE;3 mph;48 °F;87 %;28.02 in
29.04.2007;Barcelona;Levante;1;0;La Liga;Partly Cloudy;ENE;10 mph;64 °F;83 %;30.04 in
29.04.2007;Ath. Bilbao;Real Madrid;1;4;La Liga;Mostly Cloudy;SSE;1 mph;59 °F;82 %;29.97 in
21.04.2007;R. Sociedad;Atl. Madrid;2;0;La Liga;Mostly Cloudy;VAR;2 mph;59 °F;63 %;27.99 in
21.04.2007;Real Madrid;Valencia;2;1;La Liga;Mostly Cloudy;VAR;2 mph;59 °F;63 %;27.99 in
22.04.2007;Espanyol;Real Betis;2;2;La Liga;Fair;ESE;6 mph;57 °F;55 %;28.07 in
22.04.2007;Levante;Getafe;1;1;La Liga;Fair;ESE;6 mph;57 °F;55 %;28.07 in
22.04.2007;Mallorca;Gimnastic;1;0;La Liga;Cloudy;SSW;2 mph;51 °F;82 %;28.06 in
22.04.2007;Real Zaragoza;Celta Vigo;2;0;La Liga;Fair;ESE;6 mph;57 °F;55 %;28.07 in
22.04.2007;Deportivo;Osasuna;1;0;La Liga;Fair;ESE;6 mph;57 °F;55 %;28.07 in
22.04.2007;Huelva;R. Santander;4;2;La Liga;Fair;ESE;6 mph;57 °F;55 %;28.07 in
22.04.2007;Sevilla;Ath. Bilbao;4;1;La Liga;Fair;ESE;6 mph;57 °F;55 %;28.07 in
22.04.2007;Villarreal;Barcelona;2;0;La Liga;Partly Cloudy;E;3 mph;55 °F;82 %;30.00 in
14.04.2007;R. Santander;Real Madrid;2;1;La Liga;Partly Cloudy;E;5 mph;52 °F;82 %;28.04 in
14.04.2007;Real Betis;R. Sociedad;0;1;La Liga;Partly Cloudy;S;2 mph;55 °F;94 %;29.75 in
15.04.2007;Atl. Madrid;Levante;1;0;La Liga;Mostly Cloudy;NNW;5 mph;54 °F;77 %;28.10 in
15.04.2007;Getafe;Villarreal;3;0;La Liga;Mostly Cloudy;W;9 mph;59 °F;94 %;29.84 in
15.04.2007;Gimnastic;Real Zaragoza;1;0;La Liga;Mostly Cloudy;NNW;5 mph;54 °F;77 %;28.10 in
15.04.2007;Celta Vigo;Deportivo;1;0;La Liga;Mostly Cloudy;NNW;5 mph;54 °F;77 %;28.10 in
15.04.2007;Osasuna;Huelva;1;1;La Liga;Fair;NNE;7 mph;59 °F;72 %;29.73 in
15.04.2007;Ath. Bilbao;Espanyol;2;1;La Liga;Partly Cloudy;ENE;2 mph;54 °F;82 %;30.12 in
15.04.2007;Barcelona;Mallorca;1;0;La Liga;Fair;NE;8 mph;59 °F;67 %;30.01 in
15.04.2007;Valencia;Sevilla;2;0;La Liga;Mostly Cloudy;W;9 mph;59 °F;94 %;29.84 in
07.04.2007;Real Zaragoza;Barcelona;1;0;La Liga;Mostly Cloudy;SSW;1 mph;45 °F;93 %;27.99 in
07.04.2007;Ath. Bilbao;Valencia;1;0;La Liga;Fair;ENE;5 mph;46 °F;87 %;30.03 in
08.04.2007;Espanyol;R. Sociedad;1;0;La Liga;Partly Cloudy;NW;7 mph;41 °F;87 %;28.07 in
08.04.2007;Levante;Real Betis;1;1;La Liga;Partly Cloudy;NW;7 mph;41 °F;87 %;28.07 in
08.04.2007;Mallorca;Getafe;2;0;La Liga;N/A;WNW;2 mph;45 °F;83 %;28.13 in
08.04.2007;Deportivo;Gimnastic;1;0;La Liga;Partly Cloudy;NW;7 mph;41 °F;87 %;28.07 in
08.04.2007;Huelva;Celta Vigo;4;2;La Liga;Partly Cloudy;NW;7 mph;41 °F;87 %;28.07 in
08.04.2007;Sevilla;R. Santander;0;0;La Liga;Partly Cloudy;NW;7 mph;41 °F;87 %;28.07 in
08.04.2007;Real Madrid;Osasuna;2;0;La Liga;Partly Cloudy;NW;7 mph;41 °F;87 %;28.07 in
08.04.2007;Villarreal;Atl. Madrid;0;1;La Liga;Mostly Cloudy;SE;3 mph;52 °F;88 %;30.03 in
31.03.2007;Real Betis;Villarreal;3;3;La Liga;Fair;W;3 mph;55 °F;54 %;29.69 in
31.03.2007;R. Sociedad;Levante;1;0;La Liga;Mostly Cloudy;WNW;17 mph;52 °F;62 %;27.93 in
31.03.2007;Valencia;Espanyol;3;2;La Liga;Fair;W;3 mph;55 °F;54 %;29.69 in
31.03.2007;Barcelona;Deportivo;2;1;La Liga;Partly Cloudy;ENE;15 mph;50 °F;76 %;29.92 in
01.04.2007;Atl. Madrid;Mallorca;1;1;La Liga;Partly Cloudy;VAR;1 mph;45 °F;76 %;27.82 in
01.04.2007;Getafe;Real Zaragoza;2;2;La Liga;Mostly Cloudy;E;13 mph;59 °F;77 %;29.64 in
01.04.2007;Gimnastic;Huelva;1;1;La Liga;Partly Cloudy;VAR;1 mph;45 °F;76 %;27.82 in
