date;home_team;away_team;home_score;away_score;League
12.05.2019;Brighton;Man. City;1;4;Premier League
12.05.2019;Burnley;Arsenal;1;3;Premier League
12.05.2019;Crystal Palace;Bournemouth;5;3;Premier League
12.05.2019;Fulham;Newcastle;0;4;Premier League
12.05.2019;Leicester City;Chelsea;0;0;Premier League
12.05.2019;Liverpool;Wolverhampton;2;0;Premier League
12.05.2019;Man. United;Cardiff;0;2;Premier League
12.05.2019;Southampton;Huddersfield;1;1;Premier League
12.05.2019;Tottenham;Everton;2;2;Premier League
12.05.2019;Watford;West Ham;1;4;Premier League
03.05.2019;Everton;Burnley;2;0;Premier League
04.05.2019;Bournemouth;Tottenham;1;0;Premier League
04.05.2019;West Ham;Southampton;3;0;Premier League
04.05.2019;Wolverhampton;Fulham;1;0;Premier League
04.05.2019;Cardiff;Crystal Palace;2;3;Premier League
04.05.2019;Newcastle;Liverpool;2;3;Premier League
05.05.2019;Chelsea;Watford;3;0;Premier League
05.05.2019;Huddersfield;Man. United;1;1;Premier League
05.05.2019;Arsenal;Brighton;1;1;Premier League
06.05.2019;Man. City;Leicester City;1;0;Premier League
26.04.2019;Liverpool;Huddersfield;5;0;Premier League
27.04.2019;Tottenham;West Ham;0;1;Premier League
27.04.2019;Crystal Palace;Everton;0;0;Premier League
27.04.2019;Fulham;Cardiff;1;0;Premier League
27.04.2019;Southampton;Bournemouth;3;3;Premier League
27.04.2019;Watford;Wolverhampton;1;2;Premier League
27.04.2019;Brighton;Newcastle;1;1;Premier League
28.04.2019;Leicester City;Arsenal;3;0;Premier League
28.04.2019;Burnley;Man. City;0;1;Premier League
28.04.2019;Man. United;Chelsea;1;1;Premier League
20.04.2019;Man. City;Tottenham;1;0;Premier League
20.04.2019;Bournemouth;Fulham;0;1;Premier League
20.04.2019;Huddersfield;Watford;1;2;Premier League
20.04.2019;West Ham;Leicester City;2;2;Premier League
20.04.2019;Wolverhampton;Brighton;0;0;Premier League
20.04.2019;Newcastle;Southampton;3;1;Premier League
21.04.2019;Everton;Man. United;4;0;Premier League
21.04.2019;Arsenal;Crystal Palace;2;3;Premier League
21.04.2019;Cardiff;Liverpool;0;2;Premier League
22.04.2019;Chelsea;Burnley;2;2;Premier League
12.04.2019;Leicester City;Newcastle;0;1;Premier League
13.04.2019;Tottenham;Huddersfield;4;0;Premier League
13.04.2019;Brighton;Bournemouth;0;5;Premier League
13.04.2019;Burnley;Cardiff;2;0;Premier League
13.04.2019;Fulham;Everton;2;0;Premier League
13.04.2019;Southampton;Wolverhampton;3;1;Premier League
13.04.2019;Man. United;West Ham;2;1;Premier League
14.04.2019;Crystal Palace;Man. City;1;3;Premier League
14.04.2019;Liverpool;Chelsea;2;0;Premier League
15.04.2019;Watford;Arsenal;0;1;Premier League
02.04.2019;Watford;Fulham;4;1;Premier League
02.04.2019;Wolverhampton;Man. United;2;1;Premier League
03.04.2019;Man. City;Cardiff;2;0;Premier League
05.04.2019;Southampton;Liverpool;1;3;Premier League
06.04.2019;Bournemouth;Burnley;1;3;Premier League
06.04.2019;Huddersfield;Leicester City;1;4;Premier League
06.04.2019;Newcastle;Crystal Palace;0;1;Premier League
07.04.2019;Everton;Arsenal;1;0;Premier League
08.04.2019;Chelsea;West Ham;2;0;Premier League
23.04.2019;Tottenham;Brighton;1;0;Premier League
30.03.2019;Fulham;Man. City;0;2;Premier League
30.03.2019;Brighton;Southampton;0;1;Premier League
30.03.2019;Burnley;Wolverhampton;2;0;Premier League
30.03.2019;Crystal Palace;Huddersfield;2;0;Premier League
30.03.2019;Leicester City;Bournemouth;2;0;Premier League
30.03.2019;Man. United;Watford;2;1;Premier League
30.03.2019;West Ham;Everton;0;2;Premier League
31.03.2019;Cardiff;Chelsea;1;2;Premier League
31.03.2019;Liverpool;Tottenham;2;1;Premier League
01.04.2019;Arsenal;Newcastle;2;0;Premier League
16.03.2019;Bournemouth;Newcastle;2;2;Premier League
16.03.2019;Burnley;Leicester City;1;2;Premier League
16.03.2019;West Ham;Huddersfield;4;3;Premier League
17.03.2019;Fulham;Liverpool;1;2;Premier League
17.03.2019;Everton;Chelsea;2;0;Premier League
03.04.2019;Tottenham;Crystal Palace;2;0;Premier League
16.04.2019;Brighton;Cardiff;0;2;Premier League
23.04.2019;Watford;Southampton;1;1;Premier League
24.04.2019;Wolverhampton;Arsenal;3;1;Premier League
24.04.2019;Man. United;Man. City;0;2;Premier League
09.03.2019;Crystal Palace;Brighton;1;2;Premier League
09.03.2019;Cardiff;West Ham;2;0;Premier League
09.03.2019;Huddersfield;Bournemouth;0;2;Premier League
09.03.2019;Leicester City;Fulham;3;1;Premier League
09.03.2019;Newcastle;Everton;3;2;Premier League
09.03.2019;Southampton;Tottenham;2;1;Premier League
09.03.2019;Man. City;Watford;3;1;Premier League
10.03.2019;Liverpool;Burnley;4;2;Premier League
10.03.2019;Chelsea;Wolverhampton;1;1;Premier League
10.03.2019;Arsenal;Man. United;2;0;Premier League
02.03.2019;Tottenham;Arsenal;1;1;Premier League
02.03.2019;Bournemouth;Man. City;0;1;Premier League
02.03.2019;Brighton;Huddersfield;1;0;Premier League
02.03.2019;Burnley;Crystal Palace;1;3;Premier League
02.03.2019;Man. United;Southampton;3;2;Premier League
02.03.2019;Wolverhampton;Cardiff;2;0;Premier League
02.03.2019;West Ham;Newcastle;2;0;Premier League
03.03.2019;Watford;Leicester City;2;1;Premier League
03.03.2019;Fulham;Chelsea;1;2;Premier League
03.03.2019;Everton;Liverpool;0;0;Premier League
26.02.2019;Cardiff;Everton;0;3;Premier League
26.02.2019;Huddersfield;Wolverhampton;1;0;Premier League
26.02.2019;Leicester City;Brighton;2;1;Premier League
26.02.2019;Newcastle;Burnley;2;0;Premier League
27.02.2019;Arsenal;Bournemouth;5;1;Premier League
27.02.2019;Southampton;Fulham;2;0;Premier League
27.02.2019;Crystal Palace;Man. United;1;3;Premier League
27.02.2019;Chelsea;Tottenham;2;0;Premier League
27.02.2019;Liverpool;Watford;5;0;Premier League
27.02.2019;Man. City;West Ham;1;0;Premier League
06.02.2019;Everton;Man. City;0;2;Premier League
22.02.2019;Cardiff;Watford;1;5;Premier League
22.02.2019;West Ham;Fulham;3;1;Premier League
23.02.2019;Burnley;Tottenham;2;1;Premier League
23.02.2019;Bournemouth;Wolverhampton;1;1;Premier League
23.02.2019;Newcastle;Huddersfield;2;0;Premier League
23.02.2019;Leicester City;Crystal Palace;1;4;Premier League
24.02.2019;Arsenal;Southampton;2;0;Premier League
24.02.2019;Man. United;Liverpool;0;0;Premier League
03.04.2019;Chelsea;Brighton;3;0;Premier League
09.02.2019;Fulham;Man. United;0;3;Premier League
09.02.2019;Crystal Palace;West Ham;1;1;Premier League
09.02.2019;Huddersfield;Arsenal;1;2;Premier League
09.02.2019;Liverpool;Bournemouth;3;0;Premier League
09.02.2019;Southampton;Cardiff;1;2;Premier League
09.02.2019;Watford;Everton;1;0;Premier League
09.02.2019;Brighton;Burnley;1;3;Premier League
10.02.2019;Tottenham;Leicester City;3;1;Premier League
10.02.2019;Man. City;Chelsea;6;0;Premier League
11.02.2019;Wolverhampton;Newcastle;1;1;Premier League
02.02.2019;Tottenham;Newcastle;1;0;Premier League
02.02.2019;Brighton;Watford;0;0;Premier League
02.02.2019;Burnley;Southampton;1;1;Premier League
02.02.2019;Chelsea;Huddersfield;5;0;Premier League
02.02.2019;Crystal Palace;Fulham;2;0;Premier League
02.02.2019;Everton;Wolverhampton;1;3;Premier League
02.02.2019;Cardiff;Bournemouth;2;0;Premier League
03.02.2019;Leicester City;Man. United;0;1;Premier League
03.02.2019;Man. City;Arsenal;3;1;Premier League
