Marka,Model,Seri,Yıl,Kilometre,Renk,Fiyat,Yer,Yakıt Tipi,Vites Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Yakıt Deposu,Çekiş,Kimden
Fiat,1.4 ie SX,Uno,2000.0,258500.0,Lacivert,225000.0,"Soğukpınar Mh. Merkez, Tokat",LPG & Benzin,Düz,Hatchback/5,1372 cc,71 hp,42 lt,Önden Çekiş,Sahibinden
Fiat,1.3 Multijet Urban,Linea,2013.0,250000.0,Beyaz,390000.0,"Mehmet Akif Ersoy Mh. Arnavutköy, İstanbul",Dizel,Düz,Sedan,1248 cc,95 hp,45 lt,Önden Çekiş,Sahibinden
Fiat,1.3 Multijet Dynamic,Linea,2008.0,83000.0,Gri,542000.0,"Pirireis Mh. Yenişehir, Mersin",Dizel,Düz,Sedan,1248 cc,90 hp,45 lt,Önden Çekiş,Sahibinden
Fiat,1.4 Dynamic,Idea,2005.0,226500.0,Mavi,295000.0,"Baraj Mh. Altındağ, Ankara",LPG & Benzin,Düz,MPV,1368 cc,77 hp,,Önden Çekiş,Sahibinden
Fiat,1.2 EL,Palio,2003.0,225000.0,Beyaz,179000.0,"Fatih Mh. Merkez, Aksaray",LPG & Benzin,Düz,Hatchback/3,1242 cc,81 hp,51 lt,Önden Çekiş,Sahibinden
Fiat,1.4 Dynamic,Punto,2008.0,213000.0,Siyah,335000.0,"Mavikent Mh. Şahinbey, Gaziantep",LPG & Benzin,Düz,Hatchback/5,1368 cc,95 hp,47 lt,Önden Çekiş,Galeriden
Fiat,1.6 SX,Brava,2000.0,215000.0,Kırmızı,275000.0,"Kayacık Mh. Bandırma, Balıkesir",LPG & Benzin,Düz,Hatchback/5,1581 cc,103 hp,50 lt,Önden Çekiş,Sahibinden
Fiat,Grande 1.4 Fire Active,Punto,2008.0,184000.0,Gri,450000.0,"Merkez Keçiören, Ankara",Benzin,Yarı Otomatik,Hatchback/5,1368 cc,77 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.6 Multijet Easy Plus,Egea,2019.0,92000.0,Beyaz,810000.0,"Fevziçakmak Mh. Karatay, Konya",Dizel,Yarı Otomatik,Sedan,1598 cc,120 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.4 Fire Easy,Egea,2019.0,160000.0,Beyaz,565000.0,"Kazım Karabekir Mh. Etimesgut, Ankara",Benzin,Düz,Sedan,1368 cc,95 hp,45 lt,Önden Çekiş,Sahibinden
Fiat,1.3 Multijet Easy,Egea,2017.0,175000.0,Beyaz,585000.0,"Azmimilli Mh. Merkez, Düzce",Dizel,Düz,Sedan,1248 cc,95 hp,45 lt,Önden Çekiş,Sahibinden
Fiat,1.6 Multijet Urban,Egea,2018.0,145000.0,Beyaz,785000.0,"Fevziçakmak Mh. Karatay, Konya",Dizel,Düz,Sedan,1598 cc,120 hp,45 lt,Önden Çekiş,Galeriden
