date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
13.12.2024;Toulouse;St Etienne;2;1;Ligue 1;Fair;ESE;13 mph;48 °F;76 %;29.64 in
14.12.2024;Marsilya;Lille;1;1;Ligue 1;Mostly Cloudy;E;9 mph;52 °F;71 %;30.18 in
14.12.2024;AJ Auxerre;Lens;2;2;Ligue 1;Fog;N;5 mph;28 °F;100 %;29.57 in
14.12.2024;Reims;Monaco;0;0;Ligue 1;Fog;N;5 mph;28 °F;100 %;29.57 in
15.12.2024;Montpellier;Nice;2;2;Ligue 1;Mostly Cloudy;VAR;3 mph;43 °F;81 %;29.93 in
15.12.2024;Rennes;Angers;2;0;Ligue 1;Cloudy;W;5 mph;43 °F;87 %;30.31 in
15.12.2024;Le Havre;Strasbourg;0;3;Ligue 1;Fair;WNW;14 mph;45 °F;87 %;30.24 in
15.12.2024;Brest;Nantes;4;1;Ligue 1;Cloudy;W;5 mph;43 °F;93 %;30.10 in
15.12.2024;PSG;Lyon;3;1;Ligue 1;Mist;W;6 mph;37 °F;100 %;30.01 in
06.12.2024;Lille;Brest;3;1;Ligue 1;Light Rain / Windy;WSW;24 mph;55 °F;88 %;29.41 in
06.12.2024;AJ Auxerre;PSG;0;0;Ligue 1;Cloudy / Windy;SW;25 mph;50 °F;100 %;29.14 in
07.12.2024;Monaco;Toulouse;2;0;Ligue 1;Fair;NNW;10 mph;50 °F;76 %;30.00 in
07.12.2024;Nice;Le Havre;2;1;Ligue 1;Fair;NNW;10 mph;50 °F;76 %;30.00 in
07.12.2024;Angers;Lyon;0;3;Ligue 1;Fair;NNW;10 mph;50 °F;76 %;30.00 in
08.12.2024;Lens;Montpellier;2;0;Ligue 1;Cloudy;W;20 mph;45 °F;93 %;29.23 in
08.12.2024;Strasbourg;Reims;0;0;Ligue 1;Mostly Cloudy;SSW;12 mph;43 °F;81 %;29.05 in
08.12.2024;Nantes;Rennes;1;0;Ligue 1;Mostly Cloudy / Windy;NNW;26 mph;48 °F;57 %;29.78 in
08.12.2024;St Etienne;Marsilya;0;2;Ligue 1;Cloudy;W;20 mph;45 °F;93 %;29.23 in
29.11.2024;Reims;Lens;0;2;Ligue 1;Mist;E;8 mph;32 °F;100 %;29.80 in
30.11.2024;Rennes;St Etienne;5;0;Ligue 1;Fog;ESE;6 mph;46 °F;100 %;30.16 in
