date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
21.05.2022;Angers;Montpellier;2;0;Ligue 1;Mostly Cloudy;E;3 mph;68 °F;88 %;30.17 in
21.05.2022;Brest;Bordeaux;2;4;Ligue 1;Partly Cloudy;SW;8 mph;55 °F;94 %;29.87 in
21.05.2022;Clermont;Lyon;1;2;Ligue 1;Partly Cloudy;SW;8 mph;55 °F;94 %;29.87 in
21.05.2022;Lens;Monaco;2;2;Ligue 1;Fair;SSW;8 mph;52 °F;88 %;29.96 in
21.05.2022;Lille;Rennes;2;2;Ligue 1;Fair;SSW;8 mph;52 °F;88 %;29.96 in
21.05.2022;Lorient;Troyes;1;1;Ligue 1;Fair;NNE;3 mph;57 °F;67 %;30.11 in
21.05.2022;Marsilya;Strasbourg;4;0;Ligue 1;Fair;SSE;7 mph;68 °F;56 %;30.21 in
21.05.2022;Nantes;St Etienne;1;1;Ligue 1;Partly Cloudy;SW;8 mph;55 °F;94 %;29.87 in
21.05.2022;PSG;Metz;5;0;Ligue 1;Fair;SSW;3 mph;55 °F;82 %;29.90 in
21.05.2022;Reims;Nice;2;3;Ligue 1;Fair;W;5 mph;52 °F;88 %;29.60 in
14.05.2022;Bordeaux;Lorient;0;0;Ligue 1;Fair;NW;6 mph;68 °F;68 %;29.61 in
14.05.2022;Lyon;Nantes;3;2;Ligue 1;Fair;NNW;7 mph;64 °F;77 %;29.30 in
14.05.2022;Metz;Angers;1;0;Ligue 1;Fair;NW;6 mph;68 °F;68 %;29.61 in
14.05.2022;Monaco;Brest;4;2;Ligue 1;Fair;ENE;7 mph;63 °F;77 %;30.06 in
14.05.2022;Montpellier;PSG;0;4;Ligue 1;Fair;NW;6 mph;68 °F;68 %;29.61 in
14.05.2022;Nice;Lille;1;3;Ligue 1;Fair;ENE;7 mph;63 °F;77 %;30.06 in
14.05.2022;Rennes;Marsilya;2;0;Ligue 1;Fair;N;7 mph;55 °F;67 %;30.08 in
14.05.2022;St Etienne;Reims;1;2;Ligue 1;Fair;SW;7 mph;52 °F;71 %;29.99 in
14.05.2022;Strasbourg;Clermont;1;0;Ligue 1;Fair;CALM;0 mph;57 °F;63 %;29.63 in
14.05.2022;Troyes;Lens;1;3;Ligue 1;Fair;NW;6 mph;55 °F;67 %;29.87 in
06.05.2022;Lille;Monaco;1;2;Ligue 1;Fair;NNW;6 mph;52 °F;88 %;30.11 in
07.05.2022;Brest;Strasbourg;0;1;Ligue 1;Fair;NW;3 mph;48 °F;93 %;29.99 in
08.05.2022;Metz;Lyon;3;2;Ligue 1;Fair;W;14 mph;63 °F;68 %;29.61 in
08.05.2022;Angers;Bordeaux;4;1;Ligue 1;Partly Cloudy;NNW;8 mph;63 °F;63 %;30.00 in
08.05.2022;Clermont;Montpellier;2;1;Ligue 1;Mostly Cloudy;NNW;6 mph;52 °F;94 %;29.96 in
08.05.2022;Reims;Lens;1;2;Ligue 1;Fair;N;8 mph;54 °F;82 %;29.57 in
08.05.2022;Lorient;Marsilya;0;3;Ligue 1;Fair;WNW;5 mph;50 °F;100 %;30.14 in
08.05.2022;PSG;Troyes;2;2;Ligue 1;Fair;N;7 mph;59 °F;72 %;29.90 in
11.05.2022;Nice;St Etienne;4;2;Ligue 1;Fair;NNW;7 mph;68 °F;52 %;30.08 in
11.05.2022;Nantes;Rennes;2;1;Ligue 1;Fair;SSW;6 mph;50 °F;94 %;29.67 in
29.04.2022;Strasbourg;PSG;3;3;Ligue 1;Fair;NE;1 mph;54 °F;62 %;29.78 in
30.04.2022;Lens;Nantes;2;2;Ligue 1;Mostly Cloudy;N;13 mph;50 °F;76 %;30.17 in
30.04.2022;Rennes;St Etienne;2;0;Ligue 1;Fair;N;7 mph;50 °F;71 %;30.22 in
01.05.2022;Troyes;Lille;3;0;Ligue 1;Fair;NNE;10 mph;50 °F;58 %;29.93 in
01.05.2022;Brest;Clermont;2;0;Ligue 1;Fair;NNE;6 mph;46 °F;93 %;29.93 in
01.05.2022;Lorient;Reims;1;2;Ligue 1;Fair;VAR;3 mph;52 °F;82 %;30.14 in
01.05.2022;Monaco;Angers;2;0;Ligue 1;Partly Cloudy;NNW;8 mph;61 °F;68 %;30.00 in
01.05.2022;Montpellier;Metz;2;2;Ligue 1;Fair;W;16 mph;61 °F;77 %;29.61 in
01.05.2022;Bordeaux;Nice;0;1;Ligue 1;Fair;W;16 mph;61 °F;77 %;29.61 in
01.05.2022;Marsilya;Lyon;0;3;Ligue 1;Fair;N;10 mph;64 °F;49 %;30.00 in
23.04.2022;Lyon;Montpellier;5;2;Ligue 1;Fair;SSW;18 mph;61 °F;52 %;28.67 in
23.04.2022;St Etienne;Monaco;1;4;Ligue 1;Fair;NNE;10 mph;55 °F;63 %;29.41 in
23.04.2022;PSG;Lens;1;1;Ligue 1;Fair;NNE;8 mph;55 °F;63 %;29.20 in
24.04.2022;Rennes;Lorient;5;0;Ligue 1;Fair;NNW;7 mph;54 °F;88 %;29.34 in
24.04.2022;Clermont;Angers;2;2;Ligue 1;Mist;N;7 mph;50 °F;94 %;29.23 in
24.04.2022;Metz;Brest;0;1;Ligue 1;Light Rain;SSW;8 mph;48 °F;100 %;28.97 in
24.04.2022;Nantes;Bordeaux;5;3;Ligue 1;Mist;N;7 mph;50 °F;94 %;29.23 in
24.04.2022;Nice;Troyes;1;0;Ligue 1;Mostly Cloudy;NW;6 mph;52 °F;94 %;29.55 in
