date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
06.08.2004;Nice;Lyon;0;1;Ligue 1;Mostly Cloudy;NE;7 mph;73 °F;83 %;29.88 in
07.08.2004;Bastia;Strasbourg;2;1;Ligue 1;Fair;NNW;6 mph;73 °F;73 %;29.91 in
07.08.2004;Caen;Istres;1;1;Ligue 1;Fair;NE;2 mph;73 °F;61 %;29.40 in
07.08.2004;Marsilya;Bordeaux;1;0;Ligue 1;Fair;NNW;7 mph;75 °F;65 %;29.89 in
07.08.2004;Lille;AJ Auxerre;2;0;Ligue 1;Fair;WNW;5 mph;64 °F;83 %;29.82 in
07.08.2004;Metz;Nantes;1;0;Ligue 1;Fair;NE;2 mph;73 °F;61 %;29.40 in
07.08.2004;St Etienne;Monaco;0;1;Ligue 1;Fair;WNW;5 mph;64 °F;83 %;29.82 in
07.08.2004;Rennes;PSG;2;1;Ligue 1;Fair;E;6 mph;68 °F;68 %;29.84 in
07.08.2004;Sochaux;AC Ajaccio;1;0;Ligue 1;Fair;NNE;7 mph;70 °F;46 %;29.66 in
07.08.2004;Toulouse;Lens;0;0;Ligue 1;Fair;NE;2 mph;73 °F;61 %;29.40 in
14.08.2004;AC Ajaccio;Metz;1;2;Ligue 1;Fair;WSW;12 mph;63 °F;77 %;29.60 in
14.08.2004;AJ Auxerre;Rennes;3;1;Ligue 1;Fair;SW;10 mph;61 °F;82 %;29.28 in
14.08.2004;Bordeaux;Nice;5;1;Ligue 1;Fair;NW;6 mph;68 °F;68 %;29.58 in
14.08.2004;Lens;St Etienne;3;0;Ligue 1;Mostly Cloudy;W;18 mph;63 °F;94 %;29.61 in
14.08.2004;Lyon;Sochaux;1;1;Ligue 1;Fair;CALM;0 mph;66 °F;68 %;29.22 in
14.08.2004;Nantes;Bastia;1;1;Ligue 1;Fair;SSW;3 mph;57 °F;94 %;29.67 in
14.08.2004;Monaco;Istres;2;1;Ligue 1;Fair;NNW;3 mph;72 °F;73 %;29.79 in
14.08.2004;PSG;Caen;2;2;Ligue 1;Fair;WSW;12 mph;63 °F;77 %;29.60 in
14.08.2004;Strasbourg;Toulouse;1;4;Ligue 1;Mostly Cloudy;SSW;9 mph;59 °F;94 %;29.40 in
15.08.2004;Marsilya;Lille;3;0;Ligue 1;Fair / Windy;NNW;22 mph;75 °F;36 %;30.03 in
21.08.2004;Bastia;AC Ajaccio;1;0;Ligue 1;Fair / Windy;WSW;22 mph;75 °F;47 %;29.73 in
21.08.2004;Istres;Lens;0;2;Ligue 1;Mostly Cloudy;WSW;10 mph;61 °F;82 %;29.49 in
21.08.2004;Caen;Monaco;1;0;Ligue 1;Fair;WSW;10 mph;66 °F;64 %;29.58 in
21.08.2004;Lille;Bordeaux;0;0;Ligue 1;Fair;SSW;8 mph;59 °F;88 %;29.55 in
21.08.2004;Rennes;Nantes;1;0;Ligue 1;Fair;W;10 mph;54 °F;82 %;29.81 in
21.08.2004;Nice;Marsilya;1;1;Ligue 1;Fair / Windy;WSW;22 mph;75 °F;47 %;29.73 in
21.08.2004;St Etienne;Strasbourg;1;1;Ligue 1;Fair;SSW;8 mph;59 °F;88 %;29.55 in
21.08.2004;Toulouse;PSG;2;1;Ligue 1;Fair;WSW;10 mph;66 °F;64 %;29.58 in
21.08.2004;Sochaux;AJ Auxerre;1;2;Ligue 1;Mostly Cloudy;WSW;10 mph;61 °F;82 %;29.49 in
22.08.2004;Metz;Lyon;1;1;Ligue 1;Fair;ENE;2 mph;64 °F;59 %;29.64 in
27.08.2004;Nice;Bastia;1;1;Ligue 1;Fair;N;9 mph;72 °F;41 %;29.88 in
28.08.2004;Bordeaux;Sochaux;2;0;Ligue 1;Fair;NW;5 mph;64 °F;73 %;29.52 in
28.08.2004;AC Ajaccio;Rennes;1;1;Ligue 1;Mostly Cloudy;WSW;12 mph;66 °F;73 %;29.60 in
28.08.2004;AJ Auxerre;Caen;1;0;Ligue 1;Fair;SW;10 mph;63 °F;77 %;29.31 in
28.08.2004;Lens;Monaco;1;1;Ligue 1;Mostly Cloudy;SSW;5 mph;61 °F;100 %;29.67 in
28.08.2004;Marsilya;Metz;1;3;Ligue 1;Fair;SSW;5 mph;70 °F;60 %;29.91 in
28.08.2004;Lyon;Lille;1;0;Ligue 1;Fair;NW;2 mph;63 °F;77 %;29.19 in
28.08.2004;Nantes;Toulouse;2;2;Ligue 1;Mostly Cloudy;W;5 mph;63 °F;94 %;29.58 in
28.08.2004;Strasbourg;Istres;1;1;Ligue 1;Fair;S;8 mph;61 °F;77 %;29.43 in
29.08.2004;PSG;St Etienne;2;2;Ligue 1;Fair;WNW;5 mph;61 °F;88 %;29.63 in
11.09.2004;Bastia;AJ Auxerre;1;0;Ligue 1;Fair;NNW;9 mph;70 °F;64 %;30.17 in
11.09.2004;Caen;Lens;1;0;Ligue 1;Fair;SSE;2 mph;68 °F;94 %;29.61 in
11.09.2004;Istres;PSG;1;1;Ligue 1;Fair;SSW;7 mph;70 °F;83 %;29.66 in
11.09.2004;Lille;Nice;1;0;Ligue 1;Fair;S;2 mph;66 °F;88 %;29.76 in
11.09.2004;Metz;Bordeaux;0;0;Ligue 1;Fair;SSE;2 mph;68 °F;94 %;29.61 in
11.09.2004;Monaco;Strasbourg;3;1;Ligue 1;Fair;NNW;9 mph;70 °F;64 %;30.17 in
11.09.2004;Rennes;Lyon;1;2;Ligue 1;Fair;SW;7 mph;63 °F;94 %;29.87 in
11.09.2004;St Etienne;Nantes;0;0;Ligue 1;Fair;S;2 mph;66 °F;88 %;29.76 in
11.09.2004;Toulouse;AC Ajaccio;3;1;Ligue 1;Fair;SSE;2 mph;68 °F;94 %;29.61 in
12.09.2004;Sochaux;Marsilya;2;0;Ligue 1;Mostly Cloudy;W;12 mph;64 °F;83 %;29.69 in
18.09.2004;AC Ajaccio;St Etienne;1;1;Ligue 1;Fair;SSW;6 mph;57 °F;63 %;29.78 in
18.09.2004;Bordeaux;Rennes;0;0;Ligue 1;Fair;S;2 mph;55 °F;72 %;29.61 in
18.09.2004;Lyon;Bastia;0;0;Ligue 1;Fair;S;2 mph;57 °F;77 %;29.33 in
18.09.2004;Nantes;Istres;1;0;Ligue 1;Mostly Cloudy;SSW;14 mph;63 °F;94 %;29.61 in
18.09.2004;Marsilya;Toulouse;1;0;Ligue 1;Fair;SSE;7 mph;64 °F;77 %;30.12 in
18.09.2004;Strasbourg;Lens;2;2;Ligue 1;Fair;WSW;3 mph;52 °F;88 %;29.60 in
19.09.2004;AJ Auxerre;Metz;4;0;Ligue 1;Fair;S;9 mph;64 °F;59 %;29.34 in
19.09.2004;Lille;Caen;2;0;Ligue 1;Mostly Cloudy;W;10 mph;63 °F;82 %;29.76 in
19.09.2004;Nice;Sochaux;2;1;Ligue 1;Fair;NNW;10 mph;66 °F;68 %;30.03 in
19.09.2004;PSG;Monaco;0;1;Ligue 1;Mostly Cloudy;WSW;8 mph;64 °F;94 %;29.63 in
