date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
20.05.2012;AJ Auxerre;Montpellier;1;2;Ligue 1;N/A;SE;10 mph;59 °F;82 %;29.11 in
20.05.2012;Evian TG;Brest;0;1;Ligue 1;Fair;N;2 mph;57 °F;88 %;29.40 in
20.05.2012;Lille;Nancy;4;1;Ligue 1;Fair;NNE;16 mph;55 °F;67 %;29.61 in
20.05.2012;Lorient;PSG;1;2;Ligue 1;Cloudy;N;8 mph;50 °F;87 %;29.67 in
20.05.2012;Lyon;Nice;3;4;Ligue 1;Fair;ESE;2 mph;61 °F;68 %;28.93 in
20.05.2012;Rennes;Dijon;5;0;Ligue 1;Cloudy;N;8 mph;50 °F;87 %;29.67 in
20.05.2012;St Etienne;Bordeaux;2;3;Ligue 1;Fair;NNE;16 mph;55 °F;67 %;29.61 in
20.05.2012;Sochaux;Marsilya;1;0;Ligue 1;Fair;N;2 mph;57 °F;88 %;29.40 in
20.05.2012;Toulouse;AC Ajaccio;0;2;Ligue 1;Mostly Cloudy;NE;6 mph;55 °F;100 %;29.20 in
20.05.2012;Valenciennes;Caen;3;1;Ligue 1;Fair;N;2 mph;57 °F;88 %;29.40 in
13.05.2012;AC Ajaccio;Lyon;1;1;Ligue 1;Fair;NNE;13 mph;50 °F;62 %;30.22 in
13.05.2012;Bordeaux;Lorient;1;0;Ligue 1;Fair;W;13 mph;64 °F;77 %;29.78 in
13.05.2012;Brest;Valenciennes;1;0;Ligue 1;Fair;NE;8 mph;45 °F;87 %;30.25 in
13.05.2012;Caen;Sochaux;1;3;Ligue 1;Fair;W;13 mph;64 °F;77 %;29.78 in
13.05.2012;Dijon;Toulouse;1;1;Ligue 1;Fair;NE;8 mph;45 °F;87 %;30.25 in
13.05.2012;Marsilya;AJ Auxerre;3;0;Ligue 1;Fair;NW;17 mph;63 °F;63 %;30.12 in
13.05.2012;Montpellier;Lille;1;0;Ligue 1;Fair;W;13 mph;64 °F;77 %;29.78 in
13.05.2012;Nancy;St Etienne;3;2;Ligue 1;Fair;N;8 mph;45 °F;81 %;29.89 in
13.05.2012;Nice;Evian TG;1;1;Ligue 1;Fair;CALM;0 mph;64 °F;88 %;29.97 in
13.05.2012;PSG;Rennes;3;0;Ligue 1;Fair;NNE;13 mph;50 °F;62 %;30.22 in
06.05.2012;Evian TG;AC Ajaccio;2;1;Ligue 1;Mostly Cloudy;ENE;6 mph;50 °F;94 %;29.37 in
06.05.2012;Lyon;Brest;1;1;Ligue 1;Cloudy;SSE;6 mph;54 °F;88 %;28.96 in
06.05.2012;Valenciennes;PSG;3;4;Ligue 1;Mostly Cloudy;ENE;6 mph;50 °F;94 %;29.37 in
07.05.2012;AJ Auxerre;Bordeaux;2;4;Ligue 1;Fair;WNW;5 mph;46 °F;87 %;29.34 in
07.05.2012;Lille;Caen;3;0;Ligue 1;Fair;NE;6 mph;48 °F;76 %;29.79 in
07.05.2012;Lorient;Dijon;0;0;Ligue 1;Cloudy;S;2 mph;48 °F;93 %;29.87 in
07.05.2012;St Etienne;Marsilya;0;0;Ligue 1;Fair;NE;6 mph;48 °F;76 %;29.79 in
07.05.2012;Sochaux;Nancy;1;0;Ligue 1;Fair;VAR;3 mph;50 °F;76 %;29.63 in
07.05.2012;Toulouse;Nice;0;0;Ligue 1;Fair;S;5 mph;50 °F;82 %;29.52 in
07.05.2012;Rennes;Montpellier;0;2;Ligue 1;Cloudy;S;2 mph;48 °F;93 %;29.87 in
01.05.2012;Montpellier;Evian TG;2;2;Ligue 1;Fair;SE;3 mph;48 °F;87 %;29.43 in
02.05.2012;AC Ajaccio;Sochaux;2;1;Ligue 1;Fair;N;5 mph;52 °F;71 %;29.75 in
02.05.2012;Bordeaux;Rennes;2;0;Ligue 1;Fair;SSW;6 mph;54 °F;62 %;29.46 in
02.05.2012;Brest;Toulouse;0;0;Ligue 1;Fair;ENE;6 mph;46 °F;93 %;29.70 in
02.05.2012;Caen;Lorient;1;0;Ligue 1;Fair;SSW;6 mph;54 °F;62 %;29.46 in
02.05.2012;Lyon;Valenciennes;4;1;Ligue 1;Fair;W;3 mph;55 °F;77 %;29.16 in
02.05.2012;Marsilya;Nancy;1;0;Ligue 1;Fair;SE;7 mph;52 °F;82 %;30.00 in
02.05.2012;Nice;Lille;0;1;Ligue 1;Partly Cloudy;N;5 mph;57 °F;77 %;29.97 in
02.05.2012;PSG;St Etienne;2;0;Ligue 1;Fair;N;5 mph;52 °F;71 %;29.75 in
03.05.2012;Dijon;AJ Auxerre;0;2;Ligue 1;Mostly Cloudy;NE;6 mph;52 °F;94 %;29.64 in
27.04.2012;Toulouse;Montpellier;0;1;Ligue 1;Cloudy;N;12 mph;52 °F;82 %;29.37 in
27.04.2012;Lorient;Marsilya;2;1;Ligue 1;Fair;S;7 mph;45 °F;93 %;29.67 in
29.04.2012;AJ Auxerre;Brest;4;0;Ligue 1;Fair;E;3 mph;66 °F;56 %;29.00 in
29.04.2012;Nancy;Caen;1;1;Ligue 1;Fair;E;3 mph;66 °F;56 %;29.00 in
29.04.2012;Rennes;AC Ajaccio;3;1;Ligue 1;Cloudy;N;12 mph;48 °F;93 %;29.43 in
29.04.2012;St Etienne;Dijon;1;0;Ligue 1;Mostly Cloudy;NE;13 mph;54 °F;100 %;29.52 in
29.04.2012;Sochaux;Bordeaux;0;3;Ligue 1;Fair;NNW;3 mph;55 °F;94 %;29.25 in
29.04.2012;Valenciennes;Nice;2;0;Ligue 1;Fair;NNW;3 mph;55 °F;94 %;29.25 in
29.04.2012;Lille;PSG;2;1;Ligue 1;Mostly Cloudy;NE;13 mph;54 °F;100 %;29.52 in
10.05.2012;Evian TG;Lyon;1;3;Ligue 1;Fair;S;5 mph;63 °F;77 %;29.66 in
21.04.2012;Brest;Rennes;0;1;Ligue 1;Partly Cloudy;W;7 mph;43 °F;87 %;29.17 in
