date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
26.05.2013;AC Ajaccio;Nice;0;2;Ligue 1;Fair;NNW;8 mph;46 °F;71 %;29.78 in
26.05.2013;Lorient;PSG;1;3;Ligue 1;Fair;NNW;2 mph;43 °F;93 %;30.08 in
26.05.2013;Bordeaux;Evian TG;2;1;Ligue 1;Fair;W;8 mph;50 °F;66 %;29.64 in
26.05.2013;Lille;St Etienne;1;1;Ligue 1;Mostly Cloudy;NW;10 mph;46 °F;76 %;29.91 in
26.05.2013;Marsilya;Reims;0;0;Ligue 1;Fair / Windy;WNW;21 mph;54 °F;58 %;29.97 in
26.05.2013;Lyon;Rennes;2;0;Ligue 1;Mostly Cloudy;N;5 mph;45 °F;87 %;29.24 in
26.05.2013;Bastia;Sochaux;0;0;Ligue 1;Partly Cloudy;NNW;8 mph;54 °F;62 %;29.79 in
26.05.2013;Brest;Nancy;1;2;Ligue 1;Fair;NE;3 mph;45 °F;87 %;29.87 in
26.05.2013;Toulouse;Montpellier;2;0;Ligue 1;Fair;W;8 mph;50 °F;66 %;29.64 in
26.05.2013;Valenciennes;Troyes;2;1;Ligue 1;Fair;NNW;8 mph;46 °F;71 %;29.78 in
18.05.2013;Nancy;Bastia;1;2;Ligue 1;Fair;NNE;6 mph;45 °F;93 %;29.11 in
18.05.2013;St Etienne;Marsilya;2;0;Ligue 1;Mostly Cloudy;NNW;9 mph;48 °F;82 %;29.58 in
18.05.2013;Troyes;Bordeaux;1;0;Ligue 1;Fair;NE;6 mph;48 °F;82 %;29.40 in
18.05.2013;Evian TG;Valenciennes;2;0;Ligue 1;Fair;NE;6 mph;48 °F;82 %;29.40 in
18.05.2013;Sochaux;Toulouse;1;2;Ligue 1;Fair;NE;6 mph;48 °F;82 %;29.40 in
18.05.2013;Montpellier;Lille;0;0;Ligue 1;Fair;E;5 mph;55 °F;72 %;29.03 in
18.05.2013;PSG;Brest;3;1;Ligue 1;Fair;NE;6 mph;48 °F;82 %;29.40 in
18.05.2013;Reims;Lorient;1;0;Ligue 1;Fair;NNE;6 mph;45 °F;93 %;29.11 in
18.05.2013;Rennes;AC Ajaccio;1;1;Ligue 1;Fair;NE;7 mph;50 °F;76 %;29.58 in
19.05.2013;Nice;Lyon;1;1;Ligue 1;Mostly Cloudy;SW;20 mph;55 °F;88 %;29.79 in
10.05.2013;Lille;Reims;3;0;Ligue 1;Mostly Cloudy;SW;8 mph;52 °F;67 %;29.70 in
11.05.2013;Marsilya;Toulouse;2;1;Ligue 1;Fair;NW;20 mph;61 °F;45 %;29.94 in
11.05.2013;AC Ajaccio;Troyes;0;1;Ligue 1;Fair;SSW;5 mph;54 °F;72 %;29.75 in
11.05.2013;Bordeaux;Nancy;3;2;Ligue 1;Fair;W;12 mph;55 °F;72 %;29.64 in
11.05.2013;Bastia;Montpellier;3;1;Ligue 1;Mostly Cloudy;E;6 mph;64 °F;83 %;29.85 in
11.05.2013;Brest;Sochaux;0;2;Ligue 1;Mostly Cloudy;SW;18 mph;52 °F;94 %;29.67 in
11.05.2013;Valenciennes;Rennes;4;1;Ligue 1;Fair;SSW;5 mph;54 °F;72 %;29.75 in
12.05.2013;Lorient;St Etienne;3;1;Ligue 1;Fair;W;10 mph;52 °F;67 %;29.99 in
12.05.2013;Evian TG;Nice;4;0;Ligue 1;Mostly Cloudy;W;12 mph;52 °F;67 %;29.69 in
12.05.2013;Lyon;PSG;0;1;Ligue 1;Mostly Cloudy;WSW;2 mph;52 °F;82 %;29.27 in
03.05.2013;St Etienne;Bordeaux;0;0;Ligue 1;Mostly Cloudy;NNW;7 mph;50 °F;76 %;29.91 in
04.05.2013;Marsilya;Bastia;2;1;Ligue 1;Fair;WNW;14 mph;59 °F;59 %;29.94 in
04.05.2013;Troyes;Evian TG;1;0;Ligue 1;Fair;NNW;7 mph;54 °F;51 %;29.78 in
04.05.2013;Sochaux;Lorient;1;0;Ligue 1;Fair;NNW;7 mph;54 °F;51 %;29.78 in
04.05.2013;Montpellier;Brest;2;1;Ligue 1;Mostly Cloudy;W;8 mph;55 °F;82 %;29.61 in
04.05.2013;Reims;AC Ajaccio;1;1;Ligue 1;Fair;NW;10 mph;54 °F;88 %;29.43 in
04.05.2013;Toulouse;Lille;4;2;Ligue 1;Mostly Cloudy;W;8 mph;55 °F;82 %;29.61 in
05.05.2013;Rennes;Nice;0;3;Ligue 1;Fair;NNE;5 mph;52 °F;76 %;30.11 in
05.05.2013;Nancy;Lyon;0;3;Ligue 1;Fair;NNE;3 mph;54 °F;82 %;29.57 in
05.05.2013;PSG;Valenciennes;1;1;Ligue 1;Fair;NNW;3 mph;57 °F;59 %;29.87 in
26.04.2013;Lille;Sochaux;3;3;Ligue 1;Fair;N;1 mph;59 °F;59 %;29.85 in
27.04.2013;Lorient;Marsilya;0;1;Ligue 1;Fair;W;6 mph;39 °F;81 %;29.87 in
27.04.2013;AC Ajaccio;Montpellier;2;1;Ligue 1;Mostly Cloudy;NNW;8 mph;45 °F;76 %;29.55 in
27.04.2013;Bordeaux;Reims;0;0;Ligue 1;Cloudy;W;10 mph;52 °F;94 %;29.37 in
27.04.2013;Bastia;Toulouse;0;0;Ligue 1;Mostly Cloudy;NNW;3 mph;61 °F;88 %;29.82 in
27.04.2013;Brest;Rennes;0;2;Ligue 1;Fair;NW;6 mph;43 °F;76 %;29.70 in
27.04.2013;Valenciennes;Nancy;0;0;Ligue 1;Mostly Cloudy;NNW;8 mph;45 °F;76 %;29.55 in
28.04.2013;Lyon;St Etienne;1;1;Ligue 1;Cloudy;CALM;0 mph;39 °F;93 %;29.04 in
28.04.2013;Nice;Troyes;3;1;Ligue 1;Mostly Cloudy;W;3 mph;55 °F;94 %;29.67 in
28.04.2013;Evian TG;PSG;0;1;Ligue 1;Fair;N;9 mph;46 °F;62 %;29.60 in
19.04.2013;Montpellier;Lyon;1;2;Ligue 1;Fair;NW;12 mph;55 °F;63 %;29.72 in
20.04.2013;Marsilya;Brest;1;0;Ligue 1;Fair / Windy;NW;35 mph;54 °F;44 %;29.97 in
21.04.2013;Bastia;Lille;1;2;Ligue 1;Mostly Cloudy;E;12 mph;55 °F;63 %;29.97 in
21.04.2013;Nancy;Evian TG;3;1;Ligue 1;Fair;N;9 mph;46 °F;62 %;29.57 in
21.04.2013;Sochaux;Bordeaux;2;2;Ligue 1;Fair;N;7 mph;46 °F;53 %;29.93 in
21.04.2013;Reims;Valenciennes;0;1;Ligue 1;Fair;N;9 mph;46 °F;62 %;29.57 in
21.04.2013;Toulouse;Lorient;0;1;Ligue 1;Fair;NW;8 mph;46 °F;66 %;29.69 in
21.04.2013;PSG;Nice;3;0;Ligue 1;Fair;N;7 mph;46 °F;53 %;29.93 in
24.04.2013;St Etienne;AC Ajaccio;4;2;Ligue 1;Fair;WSW;3 mph;50 °F;76 %;30.05 in
24.04.2013;Rennes;Troyes;1;2;Ligue 1;Fair;SW;3 mph;52 °F;88 %;30.14 in
12.04.2013;Valenciennes;St Etienne;0;0;Ligue 1;Mostly Cloudy;SW;9 mph;50 °F;82 %;29.25 in
13.04.2013;Troyes;PSG;0;1;Ligue 1;Mostly Cloudy;SW;8 mph;48 °F;82 %;29.55 in
13.04.2013;AC Ajaccio;Nancy;1;1;Ligue 1;Mostly Cloudy;SW;8 mph;48 °F;82 %;29.55 in
13.04.2013;Evian TG;Rennes;4;2;Ligue 1;Mostly Cloudy;SW;8 mph;48 °F;82 %;29.55 in
13.04.2013;Lorient;Bastia;4;1;Ligue 1;Fair;SW;7 mph;46 °F;87 %;29.78 in
13.04.2013;Bordeaux;Montpellier;4;2;Ligue 1;Fair;VAR;2 mph;54 °F;72 %;29.55 in
13.04.2013;Brest;Reims;0;2;Ligue 1;Fair;SSW;6 mph;45 °F;93 %;29.49 in
14.04.2013;Nice;Sochaux;3;0;Ligue 1;Fair;NNE;3 mph;55 °F;88 %;30.20 in
14.04.2013;Lyon;Toulouse;3;1;Ligue 1;Fair;SE;9 mph;57 °F;55 %;29.36 in
14.04.2013;Lille;Marsilya;0;0;Ligue 1;Mostly Cloudy;SSW;18 mph;54 °F;88 %;29.88 in
05.04.2013;Marsilya;Bordeaux;1;0;Ligue 1;Cloudy;ENE;3 mph;50 °F;82 %;29.53 in
06.04.2013;Rennes;PSG;0;2;Ligue 1;Cloudy;NNE;12 mph;37 °F;87 %;29.84 in
06.04.2013;Nancy;Troyes;1;0;Ligue 1;Fair;N;9 mph;36 °F;75 %;29.26 in
06.04.2013;Sochaux;AC Ajaccio;0;0;Ligue 1;Mostly Cloudy;NNE;12 mph;39 °F;70 %;29.57 in
06.04.2013;Montpellier;Valenciennes;3;1;Ligue 1;Fair;W;9 mph;41 °F;81 %;29.32 in
06.04.2013;Bastia;Brest;4;0;Ligue 1;Mostly Cloudy;NW;6 mph;52 °F;82 %;29.64 in
06.04.2013;Toulouse;Nice;3;4;Ligue 1;Fair;W;9 mph;41 °F;81 %;29.32 in
07.04.2013;St Etienne;Evian TG;1;0;Ligue 1;Fair;N;9 mph;37 °F;70 %;30.05 in
07.04.2013;Reims;Lyon;1;0;Ligue 1;Cloudy;N;10 mph;37 °F;75 %;29.54 in
07.04.2013;Lille;Lorient;5;0;Ligue 1;Fair;N;9 mph;37 °F;70 %;30.05 in
29.03.2013;PSG;Montpellier;1;0;Ligue 1;Mostly Cloudy;NW;7 mph;36 °F;75 %;29.49 in
30.03.2013;Troyes;St Etienne;2;2;Ligue 1;Mostly Cloudy;NE;12 mph;36 °F;65 %;29.34 in
30.03.2013;AC Ajaccio;Toulouse;2;3;Ligue 1;Mostly Cloudy;NE;12 mph;36 °F;65 %;29.34 in
30.03.2013;Evian TG;Reims;2;2;Ligue 1;Mostly Cloudy;NE;12 mph;36 °F;65 %;29.34 in
30.03.2013;Bordeaux;Lorient;1;1;Ligue 1;Mostly Cloudy;NE;5 mph;55 °F;88 %;29.00 in
30.03.2013;Rennes;Nancy;0;2;Ligue 1;Cloudy;ESE;12 mph;39 °F;87 %;29.46 in
30.03.2013;Valenciennes;Bastia;3;4;Ligue 1;Mostly Cloudy;NE;12 mph;36 °F;65 %;29.34 in
31.03.2013;Nice;Marsilya;0;1;Ligue 1;Mostly Cloudy;W;2 mph;50 °F;94 %;29.41 in
31.03.2013;Brest;Lille;1;2;Ligue 1;Mostly Cloudy;E;7 mph;37 °F;70 %;29.52 in
31.03.2013;Lyon;Sochaux;1;2;Ligue 1;Mostly Cloudy;SSW;3 mph;46 °F;100 %;28.81 in
15.03.2013;Marsilya;AC Ajaccio;0;0;Ligue 1;Fair / Windy;NW;38 mph;37 °F;52 %;29.59 in
16.03.2013;Bastia;Lyon;4;1;Ligue 1;Fair;NNW;10 mph;41 °F;76 %;29.91 in
16.03.2013;Lorient;Brest;4;0;Ligue 1;Cloudy;S;13 mph;43 °F;87 %;29.67 in
16.03.2013;Sochaux;Valenciennes;1;1;Ligue 1;Fair;S;10 mph;39 °F;61 %;29.55 in
16.03.2013;Lille;Evian TG;1;2;Ligue 1;Fair;S;18 mph;39 °F;65 %;29.61 in
16.03.2013;Montpellier;Troyes;1;1;Ligue 1;Fair;SSW;5 mph;34 °F;75 %;29.49 in
16.03.2013;Reims;Rennes;1;0;Ligue 1;Fair;SSE;15 mph;32 °F;75 %;29.31 in
17.03.2013;Nancy;Nice;1;0;Ligue 1;Cloudy;S;17 mph;39 °F;93 %;28.97 in
17.03.2013;Toulouse;Bordeaux;0;0;Ligue 1;Fair;VAR;2 mph;46 °F;71 %;29.14 in
17.03.2013;St Etienne;PSG;2;2;Ligue 1;Mostly Cloudy;S;16 mph;41 °F;81 %;29.32 in
08.03.2013;Rennes;St Etienne;2;2;Ligue 1;Fair;E;6 mph;52 °F;94 %;29.17 in
09.03.2013;PSG;Nancy;2;1;Ligue 1;Mostly Cloudy;WSW;3 mph;48 °F;93 %;29.25 in
09.03.2013;AC Ajaccio;Lorient;1;0;Ligue 1;Mostly Cloudy;WSW;3 mph;48 °F;93 %;29.25 in
09.03.2013;Troyes;Reims;4;2;Ligue 1;Mostly Cloudy;WSW;3 mph;48 °F;93 %;29.25 in
09.03.2013;Evian TG;Sochaux;5;1;Ligue 1;Mostly Cloudy;WSW;3 mph;48 °F;93 %;29.25 in
09.03.2013;Brest;Toulouse;0;1;Ligue 1;Mostly Cloudy;S;10 mph;48 °F;93 %;29.17 in
09.03.2013;Valenciennes;Lille;1;3;Ligue 1;Mostly Cloudy;WSW;3 mph;48 °F;93 %;29.25 in
10.03.2013;Nice;Montpellier;2;0;Ligue 1;Partly Cloudy;NW;8 mph;48 °F;93 %;29.58 in
10.03.2013;Bordeaux;Bastia;1;0;Ligue 1;Fair;CALM;0 mph;50 °F;76 %;29.08 in
10.03.2013;Lyon;Marsilya;0;0;Ligue 1;Fair;SSE;7 mph;46 °F;76 %;28.78 in
01.03.2013;Montpellier;Rennes;2;0;Ligue 1;Fair;S;3 mph;37 °F;81 %;29.52 in
02.03.2013;Reims;PSG;1;0;Ligue 1;Cloudy;NNE;13 mph;36 °F;87 %;29.60 in
02.03.2013;St Etienne;Nice;4;0;Ligue 1;Mostly Cloudy;NE;10 mph;37 °F;70 %;30.14 in
02.03.2013;Lorient;Valenciennes;1;1;Ligue 1;Cloudy;NE;7 mph;39 °F;70 %;30.17 in
02.03.2013;Sochaux;Nancy;1;2;Ligue 1;Cloudy;NE;12 mph;37 °F;75 %;29.93 in
02.03.2013;Bastia;AC Ajaccio;1;0;Ligue 1;Mostly Cloudy;NNW;10 mph;52 °F;50 %;29.88 in
02.03.2013;Toulouse;Evian TG;0;0;Ligue 1;Fair;W;13 mph;43 °F;66 %;29.52 in
03.03.2013;Brest;Lyon;1;1;Ligue 1;Cloudy;ESE;8 mph;34 °F;81 %;29.84 in
03.03.2013;Marsilya;Troyes;2;1;Ligue 1;Fair;ESE;5 mph;37 °F;75 %;30.06 in
03.03.2013;Lille;Bordeaux;2;1;Ligue 1;Cloudy;E;3 mph;36 °F;75 %;30.08 in
22.02.2013;Nice;Reims;2;0;Ligue 1;Mostly Cloudy;NE;10 mph;43 °F;87 %;29.64 in
23.02.2013;Rennes;Sochaux;2;2;Ligue 1;Cloudy;NE;12 mph;30 °F;60 %;29.84 in
23.02.2013;AC Ajaccio;Lille;1;3;Ligue 1;Cloudy;NE;13 mph;28 °F;64 %;29.57 in
23.02.2013;Nancy;St Etienne;0;3;Ligue 1;Fair;NNE;12 mph;23 °F;80 %;29.23 in
23.02.2013;Troyes;Bastia;0;0;Ligue 1;Cloudy;NE;13 mph;28 °F;64 %;29.57 in
23.02.2013;Evian TG;Montpellier;0;1;Ligue 1;Cloudy;NE;13 mph;28 °F;64 %;29.57 in
23.02.2013;Valenciennes;Toulouse;0;0;Ligue 1;Cloudy;NE;13 mph;28 °F;64 %;29.57 in
24.02.2013;Lyon;Lorient;3;1;Ligue 1;Mostly Cloudy;NNW;16 mph;27 °F;80 %;29.01 in
24.02.2013;Bordeaux;Brest;0;2;Ligue 1;Cloudy;WNW;13 mph;30 °F;60 %;29.49 in
24.02.2013;PSG;Marsilya;2;0;Ligue 1;Mostly Cloudy;N;12 mph;28 °F;86 %;29.69 in
15.02.2013;Lille;Rennes;2;0;Ligue 1;Mostly Cloudy;SSW;3 mph;34 °F;93 %;29.76 in
16.02.2013;Marsilya;Valenciennes;1;0;Ligue 1;Fair;NNW;7 mph;43 °F;70 %;30.06 in
16.02.2013;Lorient;Evian TG;2;1;Ligue 1;Fair;CALM;0 mph;45 °F;81 %;30.08 in
16.02.2013;Montpellier;Nancy;1;0;Ligue 1;Fair;NW;2 mph;41 °F;81 %;29.66 in
16.02.2013;Bastia;Nice;0;1;Ligue 1;Fair;NNW;13 mph;45 °F;66 %;30.00 in
16.02.2013;Brest;AC Ajaccio;1;1;Ligue 1;Fair;ESE;5 mph;37 °F;100 %;29.84 in
16.02.2013;Toulouse;Troyes;2;2;Ligue 1;Fair;NW;2 mph;41 °F;81 %;29.66 in
17.02.2013;Bordeaux;Lyon;0;4;Ligue 1;Fair;CALM;0 mph;37 °F;75 %;29.52 in
17.02.2013;Reims;St Etienne;1;1;Ligue 1;Cloudy;NE;3 mph;37 °F;100 %;29.57 in
17.02.2013;Sochaux;PSG;3;2;Ligue 1;Fair;E;3 mph;37 °F;93 %;29.87 in
08.02.2013;PSG;Bastia;3;1;Ligue 1;Mostly Cloudy;NW;7 mph;36 °F;87 %;29.63 in
09.02.2013;St Etienne;Montpellier;4;1;Ligue 1;Mostly Cloudy;NW;3 mph;34 °F;93 %;29.91 in
09.02.2013;AC Ajaccio;Bordeaux;1;0;Ligue 1;Mostly Cloudy;WNW;7 mph;34 °F;93 %;29.78 in
09.02.2013;Nancy;Reims;1;2;Ligue 1;Fair;WNW;6 mph;28 °F;86 %;29.46 in
09.02.2013;Troyes;Sochaux;0;0;Ligue 1;Mostly Cloudy;WNW;7 mph;34 °F;93 %;29.78 in
09.02.2013;Nice;Lorient;1;1;Ligue 1;Fair;NNW;13 mph;39 °F;45 %;29.82 in
09.02.2013;Valenciennes;Brest;2;1;Ligue 1;Mostly Cloudy;WNW;7 mph;34 °F;93 %;29.78 in
10.02.2013;Evian TG;Marsilya;1;1;Ligue 1;Fair;S;6 mph;30 °F;93 %;29.66 in
10.02.2013;Rennes;Toulouse;2;0;Ligue 1;Mostly Cloudy;CALM;0 mph;43 °F;100 %;29.81 in
10.02.2013;Lyon;Lille;1;3;Ligue 1;Mostly Cloudy;NW;2 mph;30 °F;86 %;29.19 in
01.02.2013;Toulouse;PSG;0;4;Ligue 1;Cloudy;CALM;0 mph;54 °F;94 %;29.75 in
02.02.2013;Lorient;Rennes;2;2;Ligue 1;Mostly Cloudy;W;8 mph;43 °F;87 %;29.52 in
02.02.2013;Sochaux;St Etienne;1;2;Ligue 1;Mostly Cloudy;NNW;8 mph;43 °F;81 %;29.20 in
02.02.2013;Bordeaux;Valenciennes;2;0;Ligue 1;Cloudy;W;16 mph;52 °F;76 %;29.14 in
02.02.2013;Lille;Troyes;1;1;Ligue 1;Mostly Cloudy;WNW;6 mph;39 °F;93 %;29.32 in
02.02.2013;Bastia;Evian TG;0;0;Ligue 1;Fair;SW;17 mph;57 °F;67 %;29.47 in
02.02.2013;Brest;Nice;0;2;Ligue 1;Partly Cloudy;NNW;20 mph;46 °F;71 %;29.38 in
03.02.2013;AC Ajaccio;Lyon;3;1;Ligue 1;Fair;NNW;9 mph;36 °F;81 %;29.84 in
03.02.2013;Montpellier;Reims;3;1;Ligue 1;Mostly Cloudy / Windy;NW;23 mph;39 °F;70 %;29.58 in
03.02.2013;Marsilya;Nancy;0;1;Ligue 1;Fair / Windy;NW;41 mph;43 °F;57 %;29.56 in
25.01.2013;Valenciennes;Lyon;0;2;Ligue 1;Cloudy;ENE;7 mph;27 °F;86 %;29.75 in
26.01.2013;Rennes;Marsilya;2;2;Ligue 1;Cloudy;SSE;14 mph;34 °F;93 %;29.52 in
26.01.2013;Nancy;Lorient;2;1;Ligue 1;Cloudy;SSE;16 mph;25 °F;93 %;29.23 in
26.01.2013;Troyes;Brest;2;1;Ligue 1;Cloudy;SSE;10 mph;27 °F;93 %;29.49 in
26.01.2013;Evian TG;AC Ajaccio;1;1;Ligue 1;Cloudy;SSE;10 mph;27 °F;93 %;29.49 in
26.01.2013;Montpellier;Sochaux;2;0;Ligue 1;Fair;VAR;1 mph;30 °F;93 %;29.32 in
26.01.2013;Reims;Toulouse;1;1;Ligue 1;Cloudy;SSE;16 mph;25 °F;93 %;29.23 in
27.01.2013;St Etienne;Bastia;3;0;Ligue 1;Fair;S;12 mph;36 °F;93 %;29.64 in
27.01.2013;Nice;Bordeaux;0;1;Ligue 1;Mostly Cloudy;NNW;13 mph;45 °F;66 %;29.91 in
