date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
23.05.2015;Bordeaux;Montpellier;2;1;Ligue 1;Fair;W;14 mph;59 °F;55 %;29.66 in
23.05.2015;Caen;Evian TG;3;2;Ligue 1;Fair;W;14 mph;59 °F;55 %;29.66 in
23.05.2015;Lens;Nantes;1;0;Ligue 1;Fair;WNW;7 mph;55 °F;77 %;30.05 in
23.05.2015;Lorient;Monaco;0;1;Ligue 1;Cloudy;N;5 mph;57 °F;88 %;30.16 in
23.05.2015;Marsilya;Bastia;3;0;Ligue 1;Fair;NNW;12 mph;63 °F;39 %;29.86 in
23.05.2015;Metz;Lille;1;4;Ligue 1;Fair;W;14 mph;59 °F;55 %;29.66 in
23.05.2015;PSG;Reims;3;2;Ligue 1;Fair;NNW;7 mph;57 °F;67 %;29.90 in
23.05.2015;Rennes;Lyon;0;1;Ligue 1;Cloudy;N;5 mph;57 °F;88 %;30.16 in
23.05.2015;St Etienne;Guingamp;2;1;Ligue 1;Fair;WNW;7 mph;55 °F;77 %;30.05 in
23.05.2015;Toulouse;Nice;2;3;Ligue 1;Fair;W;14 mph;59 °F;55 %;29.66 in
16.05.2015;Bastia;Caen;1;1;Ligue 1;Partly Cloudy / Windy;E;28 mph;64 °F;59 %;29.76 in
16.05.2015;Evian TG;St Etienne;1;2;Ligue 1;Fair;N;5 mph;52 °F;76 %;29.93 in
16.05.2015;Guingamp;Toulouse;2;1;Ligue 1;Fair;N;5 mph;52 °F;76 %;29.93 in
16.05.2015;Lille;Marsilya;0;4;Ligue 1;Fair;SSW;2 mph;46 °F;81 %;30.05 in
16.05.2015;Lyon;Bordeaux;1;1;Ligue 1;Cloudy;N;15 mph;54 °F;88 %;29.24 in
16.05.2015;Monaco;Metz;2;0;Ligue 1;Partly Cloudy / Windy;E;28 mph;64 °F;59 %;29.76 in
16.05.2015;Montpellier;PSG;1;2;Ligue 1;Cloudy;W;20 mph;55 °F;77 %;29.75 in
16.05.2015;Nantes;Lorient;1;1;Ligue 1;Mostly Cloudy;SW;9 mph;52 °F;88 %;29.96 in
