date;home_team;away_team;home_score;away_score;League
14.05.2006;Empoli;Ascoli;1;2;Serie A
14.05.2006;Chievo;Fiorentina;0;2;Serie A
14.05.2006;Cagliari;Inter;2;2;Serie A
14.05.2006;Reggina;Juventus;0;2;Serie A
14.05.2006;Sampdoria;Lecce;1;3;Serie A
14.05.2006;Siena;Livorno;0;0;Serie A
14.05.2006;Palermo;Messina;1;0;Serie A
14.05.2006;Lazio;Parma;1;0;Serie A
14.05.2006;Milan;Roma;2;1;Serie A
14.05.2006;Treviso;Udinese;2;1;Serie A
07.05.2006;Udinese;Cagliari;2;0;Serie A
07.05.2006;Lecce;Chievo;0;0;Serie A
07.05.2006;Messina;Empoli;1;2;Serie A
07.05.2006;Ascoli;Lazio;1;4;Serie A
07.05.2006;Parma;Milan;2;3;Serie A
07.05.2006;Juventus;Palermo;2;1;Serie A
07.05.2006;Fiorentina;Reggina;5;2;Serie A
07.05.2006;Livorno;Sampdoria;0;0;Serie A
07.05.2006;Inter;Siena;1;1;Serie A
07.05.2006;Roma;Treviso;1;0;Serie A
30.04.2006;Treviso;Ascoli;2;2;Serie A
30.04.2006;Palermo;Fiorentina;1;0;Serie A
30.04.2006;Empoli;Inter;1;0;Serie A
30.04.2006;Siena;Juventus;0;3;Serie A
30.04.2006;Lazio;Lecce;1;0;Serie A
30.04.2006;Milan;Livorno;2;0;Serie A
30.04.2006;Reggina;Messina;3;0;Serie A
30.04.2006;Cagliari;Parma;3;1;Serie A
30.04.2006;Chievo;Roma;4;4;Serie A
30.04.2006;Sampdoria;Udinese;1;1;Serie A
22.04.2006;Ascoli;Cagliari;2;2;Serie A
22.04.2006;Udinese;Chievo;1;1;Serie A
22.04.2006;Fiorentina;Empoli;2;1;Serie A
22.04.2006;Juventus;Lazio;1;1;Serie A
22.04.2006;Messina;Milan;1;3;Serie A
22.04.2006;Livorno;Palermo;3;1;Serie A
22.04.2006;Inter;Reggina;4;0;Serie A
22.04.2006;Roma;Sampdoria;0;0;Serie A
22.04.2006;Parma;Siena;1;1;Serie A
22.04.2006;Lecce;Treviso;1;1;Serie A
14.04.2006;Milan;Inter;1;0;Serie A
15.04.2006;Reggina;Ascoli;2;0;Serie A
15.04.2006;Treviso;Fiorentina;1;3;Serie A
15.04.2006;Cagliari;Juventus;1;1;Serie A
15.04.2006;Lazio;Livorno;3;1;Serie A
15.04.2006;Chievo;Messina;2;0;Serie A
15.04.2006;Sampdoria;Parma;1;2;Serie A
15.04.2006;Palermo;Roma;3;3;Serie A
15.04.2006;Empoli;Siena;2;1;Serie A
15.04.2006;Lecce;Udinese;1;2;Serie A
08.04.2006;Livorno;Udinese;0;2;Serie A
08.04.2006;Ascoli;Inter;1;2;Serie A
09.04.2006;Milan;Chievo;4;1;Serie A
09.04.2006;Siena;Lazio;2;3;Serie A
09.04.2006;Roma;Lecce;3;1;Serie A
09.04.2006;Cagliari;Palermo;1;1;Serie A
09.04.2006;Parma;Reggina;4;0;Serie A
09.04.2006;Empoli;Sampdoria;2;1;Serie A
09.04.2006;Messina;Treviso;3;1;Serie A
09.04.2006;Juventus;Fiorentina;1;1;Serie A
01.04.2006;Treviso;Juventus;0;0;Serie A
01.04.2006;Lecce;Milan;1;0;Serie A
01.04.2006;Inter;Messina;3;0;Serie A
02.04.2006;Palermo;Ascoli;1;1;Serie A
02.04.2006;Sampdoria;Cagliari;1;1;Serie A
02.04.2006;Lazio;Empoli;3;3;Serie A
02.04.2006;Chievo;Livorno;2;1;Serie A
02.04.2006;Udinese;Parma;2;0;Serie A
02.04.2006;Fiorentina;Roma;1;1;Serie A
02.04.2006;Reggina;Siena;1;1;Serie A
25.03.2006;Parma;Inter;1;0;Serie A
25.03.2006;Milan;Fiorentina;3;1;Serie A
25.03.2006;Juventus;Roma;1;1;Serie A
26.03.2006;Ascoli;Chievo;2;2;Serie A
26.03.2006;Siena;Lecce;1;2;Serie A
26.03.2006;Empoli;Livorno;2;1;Serie A
26.03.2006;Cagliari;Reggina;0;2;Serie A
26.03.2006;Lazio;Sampdoria;2;0;Serie A
26.03.2006;Palermo;Treviso;1;0;Serie A
26.03.2006;Messina;Udinese;1;1;Serie A
18.03.2006;Treviso;Cagliari;1;2;Serie A
18.03.2006;Livorno;Juventus;1;3;Serie A
19.03.2006;Fiorentina;Ascoli;3;1;Serie A
19.03.2006;Reggina;Empoli;0;2;Serie A
19.03.2006;Inter;Lazio;3;1;Serie A
19.03.2006;Udinese;Milan;0;4;Serie A
19.03.2006;Sampdoria;Palermo;0;2;Serie A
19.03.2006;Lecce;Parma;1;2;Serie A
19.03.2006;Chievo;Siena;4;1;Serie A
19.03.2006;Roma;Messina;2;1;Serie A
11.03.2006;Siena;Treviso;1;0;Serie A
11.03.2006;Inter;Sampdoria;1;0;Serie A
12.03.2006;Empoli;Chievo;2;1;Serie A
12.03.2006;Messina;Lecce;2;1;Serie A
12.03.2006;Parma;Livorno;2;1;Serie A
12.03.2006;Lazio;Reggina;3;1;Serie A
12.03.2006;Ascoli;Roma;3;2;Serie A
12.03.2006;Palermo;Udinese;2;0;Serie A
12.03.2006;Juventus;Milan;0;0;Serie A
22.03.2006;Cagliari;Fiorentina;0;0;Serie A
04.03.2006;Milan;Empoli;3;0;Serie A
04.03.2006;Sampdoria;Juventus;0;1;Serie A
05.03.2006;Udinese;Ascoli;1;1;Serie A
05.03.2006;Livorno;Cagliari;0;1;Serie A
05.03.2006;Chievo;Lazio;2;2;Serie A
05.03.2006;Lecce;Palermo;2;0;Serie A
05.03.2006;Messina;Parma;0;1;Serie A
05.03.2006;Treviso;Reggina;0;1;Serie A
05.03.2006;Fiorentina;Siena;2;1;Serie A
05.03.2006;Roma;Inter;1;1;Serie A
25.02.2006;Reggina;Livorno;1;1;Serie A
25.02.2006;Parma;Fiorentina;2;4;Serie A
26.02.2006;Cagliari;Chievo;2;2;Serie A
26.02.2006;Juventus;Lecce;3;1;Serie A
26.02.2006;Ascoli;Messina;1;0;Serie A
26.02.2006;Palermo;Milan;0;2;Serie A
26.02.2006;Siena;Sampdoria;1;0;Serie A
26.02.2006;Empoli;Treviso;1;1;Serie A
26.02.2006;Inter;Udinese;3;1;Serie A
26.02.2006;Lazio;Roma;0;2;Serie A
18.02.2006;Livorno;Inter;0;0;Serie A
18.02.2006;Messina;Juventus;2;2;Serie A
18.02.2006;Milan;Cagliari;1;0;Serie A
19.02.2006;Sampdoria;Ascoli;1;2;Serie A
19.02.2006;Roma;Empoli;1;0;Serie A
19.02.2006;Fiorentina;Lazio;1;2;Serie A
19.02.2006;Chievo;Palermo;0;0;Serie A
19.02.2006;Treviso;Parma;0;1;Serie A
19.02.2006;Lecce;Reggina;0;0;Serie A
19.02.2006;Udinese;Siena;1;2;Serie A
11.02.2006;Treviso;Chievo;1;2;Serie A
11.02.2006;Lazio;Udinese;1;1;Serie A
12.02.2006;Parma;Ascoli;0;0;Serie A
12.02.2006;Livorno;Fiorentina;2;0;Serie A
12.02.2006;Cagliari;Lecce;0;0;Serie A
12.02.2006;Sampdoria;Messina;4;2;Serie A
12.02.2006;Reggina;Milan;1;4;Serie A
12.02.2006;Empoli;Palermo;0;1;Serie A
12.02.2006;Siena;Roma;0;2;Serie A
12.02.2006;Inter;Juventus;1;2;Serie A
