date;home_team;away_team;home_score;away_score;League
24.05.2024;Alanyaspor;Antalyaspor;1;1;Süper Lig
25.05.2024;F. Karagümrük;Samsunspor;3;1;Süper Lig
25.05.2024;Sivasspor;Kayserispor;2;1;Süper Lig
26.05.2024;Fenerbahçe;İstanbulspor;6;0;Süper Lig
26.05.2024;Konyaspor;Galatasaray;1;3;Süper Lig
26.05.2024;Pendikspor;Gaziantep FK;0;1;Süper Lig
26.05.2024;Adana Demirspor;Başakşehir;2;6;Süper Lig
26.05.2024;Kasımpaşa;Beşiktaş;2;1;Süper Lig
26.05.2024;Trabzonspor;Ankaragücü;4;2;Süper Lig
26.05.2024;Hatayspor;Ç. Rizespor;2;0;Süper Lig
17.05.2024;İstanbulspor;Sivasspor;1;3;Süper Lig
17.05.2024;Antalyaspor;Adana Demirspor;2;1;Süper Lig
18.05.2024;Beşiktaş;Hatayspor;2;2;Süper Lig
18.05.2024;Ankaragücü;Pendikspor;0;0;Süper Lig
18.05.2024;Ç. Rizespor;Kasımpaşa;0;0;Süper Lig
18.05.2024;Samsunspor;Alanyaspor;1;1;Süper Lig
18.05.2024;Gaziantep FK;F. Karagümrük;3;1;Süper Lig
18.05.2024;Başakşehir;Trabzonspor;0;1;Süper Lig
18.05.2024;Kayserispor;Konyaspor;2;2;Süper Lig
19.05.2024;Galatasaray;Fenerbahçe;0;1;Süper Lig
12.05.2024;Fenerbahçe;Kayserispor;3;0;Süper Lig
12.05.2024;Trabzonspor;İstanbulspor;3;0;Süper Lig
12.05.2024;F. Karagümrük;Galatasaray;2;3;Süper Lig
12.05.2024;Konyaspor;Samsunspor;3;0;Süper Lig
12.05.2024;Adana Demirspor;Gaziantep FK;1;6;Süper Lig
12.05.2024;Sivasspor;Başakşehir;0;1;Süper Lig
12.05.2024;Kasımpaşa;Antalyaspor;3;1;Süper Lig
12.05.2024;Alanyaspor;Beşiktaş;1;1;Süper Lig
12.05.2024;Hatayspor;Ankaragücü;2;1;Süper Lig
12.05.2024;Pendikspor;Ç. Rizespor;2;1;Süper Lig
03.05.2024;Ankaragücü;Alanyaspor;1;1;Süper Lig
03.05.2024;Beşiktaş;Ç. Rizespor;3;2;Süper Lig
04.05.2024;İstanbulspor;Adana Demirspor;0;1;Süper Lig
04.05.2024;Kayserispor;F. Karagümrük;2;2;Süper Lig
04.05.2024;Samsunspor;Trabzonspor;3;1;Süper Lig
05.05.2024;Başakşehir;Kasımpaşa;4;1;Süper Lig
05.05.2024;Gaziantep FK;Hatayspor;1;1;Süper Lig
05.05.2024;Galatasaray;Sivasspor;6;1;Süper Lig
06.05.2024;Antalyaspor;Pendikspor;1;2;Süper Lig
06.05.2024;Konyaspor;Fenerbahçe;0;0;Süper Lig
26.04.2024;Adana Demirspor;Galatasaray;0;3;Süper Lig
27.04.2024;Kasımpaşa;Samsunspor;1;0;Süper Lig
27.04.2024;Sivasspor;Konyaspor;1;0;Süper Lig
27.04.2024;Hatayspor;Başakşehir;1;2;Süper Lig
27.04.2024;Fenerbahçe;Beşiktaş;2;1;Süper Lig
28.04.2024;Pendikspor;Kayserispor;1;2;Süper Lig
28.04.2024;Alanyaspor;İstanbulspor;6;0;Süper Lig
28.04.2024;Trabzonspor;Gaziantep FK;4;2;Süper Lig
28.04.2024;Ç. Rizespor;Ankaragücü;2;2;Süper Lig
29.04.2024;F. Karagümrük;Antalyaspor;4;1;Süper Lig
19.04.2024;Beşiktaş;Ankaragücü;2;0;Süper Lig
20.04.2024;İstanbulspor;F. Karagümrük;1;2;Süper Lig
20.04.2024;Konyaspor;Alanyaspor;0;2;Süper Lig
20.04.2024;Samsunspor;Adana Demirspor;1;1;Süper Lig
20.04.2024;Kayserispor;Trabzonspor;1;2;Süper Lig
21.04.2024;Başakşehir;Ç. Rizespor;2;0;Süper Lig
21.04.2024;Antalyaspor;Hatayspor;2;1;Süper Lig
21.04.2024;Galatasaray;Pendikspor;4;1;Süper Lig
21.04.2024;Gaziantep FK;Kasımpaşa;2;0;Süper Lig
22.04.2024;Sivasspor;Fenerbahçe;2;2;Süper Lig
12.04.2024;Trabzonspor;Sivasspor;0;1;Süper Lig
13.04.2024;Kasımpaşa;Konyaspor;0;2;Süper Lig
13.04.2024;Ankaragücü;Gaziantep FK;3;1;Süper Lig
13.04.2024;Adana Demirspor;Kayserispor;0;0;Süper Lig
13.04.2024;Beşiktaş;Samsunspor;1;1;Süper Lig
14.04.2024;Pendikspor;Başakşehir;2;3;Süper Lig
14.04.2024;Hatayspor;İstanbulspor;0;3;Süper Lig
14.04.2024;Ç. Rizespor;Antalyaspor;3;0;Süper Lig
14.04.2024;F. Karagümrük;Fenerbahçe;1;2;Süper Lig
15.04.2024;Alanyaspor;Galatasaray;0;4;Süper Lig
02.04.2024;İstanbulspor;Ç. Rizespor;0;4;Süper Lig
02.04.2024;Galatasaray;Hatayspor;1;0;Süper Lig
02.04.2024;Gaziantep FK;Alanyaspor;0;3;Süper Lig
02.04.2024;Antalyaspor;Ankaragücü;1;1;Süper Lig
03.04.2024;Sivasspor;F. Karagümrük;1;0;Süper Lig
03.04.2024;Kayserispor;Kasımpaşa;0;2;Süper Lig
03.04.2024;Fenerbahçe;Adana Demirspor;4;2;Süper Lig
03.04.2024;Konyaspor;Trabzonspor;1;3;Süper Lig
04.04.2024;Samsunspor;Pendikspor;0;0;Süper Lig
04.04.2024;Başakşehir;Beşiktaş;1;1;Süper Lig
15.03.2024;Pendikspor;İstanbulspor;1;0;Süper Lig
15.03.2024;F. Karagümrük;Konyaspor;1;1;Süper Lig
16.03.2024;Alanyaspor;Kayserispor;1;0;Süper Lig
16.03.2024;Ankaragücü;Başakşehir;2;1;Süper Lig
16.03.2024;Beşiktaş;Antalyaspor;1;2;Süper Lig
16.03.2024;Adana Demirspor;Sivasspor;4;1;Süper Lig
17.03.2024;Ç. Rizespor;Gaziantep FK;3;1;Süper Lig
17.03.2024;Kasımpaşa;Galatasaray;3;4;Süper Lig
17.03.2024;Hatayspor;Samsunspor;3;0;Süper Lig
17.03.2024;Trabzonspor;Fenerbahçe;2;3;Süper Lig
08.03.2024;Galatasaray;Ç. Rizespor;6;2;Süper Lig
09.03.2024;Sivasspor;Alanyaspor;1;2;Süper Lig
09.03.2024;Konyaspor;Adana Demirspor;2;2;Süper Lig
09.03.2024;Trabzonspor;F. Karagümrük;5;1;Süper Lig
09.03.2024;Başakşehir;Antalyaspor;1;0;Süper Lig
10.03.2024;Kayserispor;Hatayspor;1;1;Süper Lig
10.03.2024;İstanbulspor;Kasımpaşa;1;2;Süper Lig
10.03.2024;Samsunspor;Ankaragücü;2;1;Süper Lig
10.03.2024;Fenerbahçe;Pendikspor;4;1;Süper Lig
11.03.2024;Gaziantep FK;Beşiktaş;2;0;Süper Lig
01.03.2024;Kasımpaşa;Sivasspor;0;0;Süper Lig
02.03.2024;Ankaragücü;İstanbulspor;1;1;Süper Lig
02.03.2024;Ç. Rizespor;Kayserispor;3;0;Süper Lig
02.03.2024;Hatayspor;Fenerbahçe;0;2;Süper Lig
03.03.2024;Başakşehir;Samsunspor;1;0;Süper Lig
03.03.2024;Pendikspor;Konyaspor;0;2;Süper Lig
