date;home_team;away_team;home_score;away_score;League
23.08.2008;Galatasaray;Denizlispor;4;1;Süper Lig
23.08.2008;Başakşehir;Eskişehirspor;0;0;Süper Lig
23.08.2008;Hacettepe;Bursaspor;1;2;Süper Lig
23.08.2008;Sivasspor;Kayserispor;0;0;Süper Lig
23.08.2008;Gaziantepspor;Fenerbahçe;1;0;Süper Lig
24.08.2008;Trabzonspor;Sincan Bld Ankaraspor;2;0;Süper Lig
24.08.2008;Gençlerbirliği;Kocaelispor;1;1;Süper Lig
24.08.2008;Konyaspor;Ankaragücü;3;2;Süper Lig
24.08.2008;Antalyaspor;Beşiktaş;2;3;Süper Lig
29.08.2008;Ankaragücü;Trabzonspor;1;2;Süper Lig
30.08.2008;Sincan Bld Ankaraspor;Gaziantepspor;0;2;Süper Lig
30.08.2008;Fenerbahçe;Başakşehir;2;0;Süper Lig
30.08.2008;Kocaelispor;Sivasspor;0;2;Süper Lig
31.08.2008;Bursaspor;Gençlerbirliği;2;0;Süper Lig
31.08.2008;Denizlispor;Antalyaspor;3;2;Süper Lig
31.08.2008;Eskişehirspor;Hacettepe;0;0;Süper Lig
31.08.2008;Kayserispor;Galatasaray;0;0;Süper Lig
01.09.2008;Beşiktaş;Konyaspor;2;0;Süper Lig
13.09.2008;Hacettepe;Fenerbahçe;2;1;Süper Lig
13.09.2008;Kayserispor;Kocaelispor;1;0;Süper Lig
13.09.2008;Konyaspor;Denizlispor;1;1;Süper Lig
13.09.2008;Galatasaray;Antalyaspor;1;1;Süper Lig
14.09.2008;Sivasspor;Bursaspor;3;1;Süper Lig
14.09.2008;Başakşehir;Sincan Bld Ankaraspor;1;2;Süper Lig
14.09.2008;Gaziantepspor;Ankaragücü;2;2;Süper Lig
14.09.2008;Gençlerbirliği;Eskişehirspor;3;1;Süper Lig
14.09.2008;Trabzonspor;Beşiktaş;0;0;Süper Lig
19.09.2008;Denizlispor;Trabzonspor;0;1;Süper Lig
20.09.2008;Ankaragücü;Başakşehir;0;0;Süper Lig
20.09.2008;Eskişehirspor;Sivasspor;2;2;Süper Lig
20.09.2008;Fenerbahçe;Gençlerbirliği;3;0;Süper Lig
21.09.2008;Kocaelispor;Galatasaray;1;4;Süper Lig
21.09.2008;Sincan Bld Ankaraspor;Hacettepe;4;0;Süper Lig
21.09.2008;Antalyaspor;Konyaspor;0;1;Süper Lig
21.09.2008;Bursaspor;Kayserispor;1;0;Süper Lig
