date;home_team;away_team;home_score;away_score;League
14.05.2004;Fenerbahçe;Malatyaspor;2;4;Süper Lig
15.05.2004;Gaziantepspor;Diyarbakırspor;4;1;Süper Lig
15.05.2004;Konyaspor;İstanbulspor;0;2;Süper Lig
15.05.2004;Akçaabat Sebatspor;Ankaragücü;3;2;Süper Lig
15.05.2004;Bursaspor;Samsunspor;1;0;Süper Lig
15.05.2004;Adanaspor;Denizlispor;4;1;Süper Lig
15.05.2004;Ç. Rizespor;Beşiktaş;1;0;Süper Lig
15.05.2004;Galatasaray;Elazığspor;3;1;Süper Lig
15.05.2004;Gençlerbirliği;Trabzonspor;2;2;Süper Lig
08.05.2004;Ankaragücü;Adanaspor;1;2;Süper Lig
08.05.2004;Malatyaspor;Konyaspor;1;3;Süper Lig
08.05.2004;Elazığspor;Gaziantepspor;1;2;Süper Lig
09.05.2004;Beşiktaş;Akçaabat Sebatspor;0;2;Süper Lig
09.05.2004;Samsunspor;Ç. Rizespor;2;1;Süper Lig
09.05.2004;Diyarbakırspor;Bursaspor;0;3;Süper Lig
09.05.2004;İstanbulspor;Gençlerbirliği;3;0;Süper Lig
09.05.2004;Trabzonspor;Galatasaray;2;4;Süper Lig
09.05.2004;Denizlispor;Fenerbahçe;0;4;Süper Lig
30.04.2004;Adanaspor;Beşiktaş;1;0;Süper Lig
01.05.2004;Fenerbahçe;Ankaragücü;3;1;Süper Lig
01.05.2004;Gaziantepspor;Trabzonspor;1;2;Süper Lig
01.05.2004;Gençlerbirliği;Malatyaspor;2;2;Süper Lig
01.05.2004;Konyaspor;Denizlispor;1;1;Süper Lig
02.05.2004;Galatasaray;İstanbulspor;2;2;Süper Lig
02.05.2004;Akçaabat Sebatspor;Samsunspor;1;0;Süper Lig
02.05.2004;Bursaspor;Ç. Rizespor;4;2;Süper Lig
02.05.2004;Elazığspor;Diyarbakırspor;0;1;Süper Lig
23.04.2004;Malatyaspor;Galatasaray;1;2;Süper Lig
24.04.2004;Ç. Rizespor;Akçaabat Sebatspor;0;1;Süper Lig
24.04.2004;İstanbulspor;Gaziantepspor;0;1;Süper Lig
24.04.2004;Bursaspor;Elazığspor;4;0;Süper Lig
24.04.2004;Trabzonspor;Diyarbakırspor;2;0;Süper Lig
25.04.2004;Denizlispor;Gençlerbirliği;1;2;Süper Lig
25.04.2004;Ankaragücü;Konyaspor;1;0;Süper Lig
25.04.2004;Samsunspor;Adanaspor;2;1;Süper Lig
25.04.2004;Beşiktaş;Fenerbahçe;1;3;Süper Lig
16.04.2004;Galatasaray;Denizlispor;4;3;Süper Lig
17.04.2004;Gaziantepspor;Malatyaspor;1;3;Süper Lig
17.04.2004;Gençlerbirliği;Ankaragücü;1;2;Süper Lig
17.04.2004;Elazığspor;Trabzonspor;0;3;Süper Lig
17.04.2004;Konyaspor;Beşiktaş;2;2;Süper Lig
18.04.2004;Diyarbakırspor;İstanbulspor;1;2;Süper Lig
18.04.2004;Akçaabat Sebatspor;Bursaspor;0;1;Süper Lig
18.04.2004;Adanaspor;Ç. Rizespor;0;1;Süper Lig
18.04.2004;Fenerbahçe;Samsunspor;1;1;Süper Lig
09.04.2004;Ç. Rizespor;Fenerbahçe;1;0;Süper Lig
10.04.2004;Akçaabat Sebatspor;Adanaspor;4;3;Süper Lig
10.04.2004;İstanbulspor;Elazığspor;3;1;Süper Lig
10.04.2004;Bursaspor;Trabzonspor;1;2;Süper Lig
10.04.2004;Ankaragücü;Galatasaray;1;0;Süper Lig
11.04.2004;Denizlispor;Gaziantepspor;2;0;Süper Lig
11.04.2004;Malatyaspor;Diyarbakırspor;5;0;Süper Lig
11.04.2004;Beşiktaş;Gençlerbirliği;2;2;Süper Lig
21.04.2004;Samsunspor;Konyaspor;2;3;Süper Lig
03.04.2004;Gaziantepspor;Ankaragücü;2;1;Süper Lig
03.04.2004;Diyarbakırspor;Denizlispor;0;1;Süper Lig
03.04.2004;Trabzonspor;İstanbulspor;2;0;Süper Lig
03.04.2004;Fenerbahçe;Akçaabat Sebatspor;4;2;Süper Lig
04.04.2004;Gençlerbirliği;Samsunspor;2;1;Süper Lig
04.04.2004;Konyaspor;Ç. Rizespor;2;1;Süper Lig
04.04.2004;Elazığspor;Malatyaspor;0;0;Süper Lig
04.04.2004;Adanaspor;Bursaspor;0;3;Süper Lig
04.04.2004;Galatasaray;Beşiktaş;1;2;Süper Lig
26.03.2004;Samsunspor;Galatasaray;1;0;Süper Lig
27.03.2004;Denizlispor;Elazığspor;3;0;Süper Lig
27.03.2004;Ankaragücü;Diyarbakırspor;3;1;Süper Lig
27.03.2004;Akçaabat Sebatspor;Konyaspor;1;1;Süper Lig
27.03.2004;Bursaspor;İstanbulspor;1;1;Süper Lig
27.03.2004;Malatyaspor;Trabzonspor;2;3;Süper Lig
27.03.2004;Adanaspor;Fenerbahçe;1;2;Süper Lig
27.03.2004;Beşiktaş;Gaziantepspor;4;1;Süper Lig
27.03.2004;Ç. Rizespor;Gençlerbirliği;2;0;Süper Lig
19.03.2004;Diyarbakırspor;Beşiktaş;3;1;Süper Lig
20.03.2004;Gaziantepspor;Samsunspor;1;0;Süper Lig
20.03.2004;Konyaspor;Adanaspor;4;1;Süper Lig
20.03.2004;Galatasaray;Ç. Rizespor;1;2;Süper Lig
21.03.2004;Trabzonspor;Denizlispor;1;0;Süper Lig
21.03.2004;Gençlerbirliği;Akçaabat Sebatspor;3;1;Süper Lig
21.03.2004;İstanbulspor;Malatyaspor;0;0;Süper Lig
21.03.2004;Elazığspor;Ankaragücü;1;2;Süper Lig
21.03.2004;Fenerbahçe;Bursaspor;3;1;Süper Lig
12.03.2004;Ankaragücü;Trabzonspor;1;2;Süper Lig
13.03.2004;Denizlispor;İstanbulspor;2;0;Süper Lig
13.03.2004;Bursaspor;Malatyaspor;3;2;Süper Lig
13.03.2004;Akçaabat Sebatspor;Galatasaray;2;1;Süper Lig
13.03.2004;Fenerbahçe;Konyaspor;5;2;Süper Lig
14.03.2004;Samsunspor;Diyarbakırspor;3;1;Süper Lig
14.03.2004;Ç. Rizespor;Gaziantepspor;1;2;Süper Lig
14.03.2004;Beşiktaş;Elazığspor;5;3;Süper Lig
31.03.2004;Adanaspor;Gençlerbirliği;2;2;Süper Lig
06.03.2004;Diyarbakırspor;Ç. Rizespor;0;1;Süper Lig
06.03.2004;Konyaspor;Bursaspor;1;1;Süper Lig
06.03.2004;Elazığspor;Samsunspor;1;0;Süper Lig
06.03.2004;Gençlerbirliği;Fenerbahçe;0;1;Süper Lig
07.03.2004;Gaziantepspor;Akçaabat Sebatspor;2;2;Süper Lig
07.03.2004;Malatyaspor;Denizlispor;0;1;Süper Lig
07.03.2004;İstanbulspor;Ankaragücü;2;3;Süper Lig
07.03.2004;Galatasaray;Adanaspor;3;2;Süper Lig
07.03.2004;Trabzonspor;Beşiktaş;3;0;Süper Lig
28.02.2004;Ç. Rizespor;Elazığspor;5;4;Süper Lig
28.02.2004;Ankaragücü;Malatyaspor;0;0;Süper Lig
28.02.2004;Konyaspor;Gençlerbirliği;4;1;Süper Lig
