date;home_team;away_team;home_score;away_score;League
06.04.2021;Trabzonspor;Kayserispor;1;1;Süper Lig
07.04.2021;Gençlerbirliği;Erzurumspor FK;1;1;Süper Lig
07.04.2021;Konyaspor;Ankaragücü;1;1;Süper Lig
07.04.2021;Antalyaspor;Sivasspor;2;4;Süper Lig
07.04.2021;Beşiktaş;Alanyaspor;3;0;Süper Lig
08.04.2021;Denizlispor;Kasımpaşa;1;1;Süper Lig
08.04.2021;Gaziantep FK;Başakşehir;2;0;Süper Lig
08.04.2021;Yeni Malatyaspor;Fenerbahçe;1;1;Süper Lig
03.04.2021;Kayserispor;Göztepe;1;1;Süper Lig
03.04.2021;Sivasspor;Trabzonspor;0;0;Süper Lig
03.04.2021;Ç. Rizespor;F. Karagümrük;0;0;Süper Lig
03.04.2021;Hatayspor;Galatasaray;3;0;Süper Lig
04.04.2021;Erzurumspor FK;Konyaspor;1;2;Süper Lig
04.04.2021;Ankaragücü;Antalyaspor;1;0;Süper Lig
04.04.2021;Alanyaspor;Gençlerbirliği;1;2;Süper Lig
04.04.2021;Başakşehir;Yeni Malatyaspor;3;1;Süper Lig
04.04.2021;Kasımpaşa;Beşiktaş;1;0;Süper Lig
05.04.2021;Fenerbahçe;Denizlispor;1;0;Süper Lig
19.03.2021;F. Karagümrük;Kayserispor;3;0;Süper Lig
19.03.2021;Galatasaray;Ç. Rizespor;3;4;Süper Lig
20.03.2021;Gençlerbirliği;Kasımpaşa;2;1;Süper Lig
20.03.2021;Göztepe;Sivasspor;3;5;Süper Lig
20.03.2021;Yeni Malatyaspor;Gaziantep FK;2;2;Süper Lig
20.03.2021;Trabzonspor;Ankaragücü;4;1;Süper Lig
21.03.2021;Antalyaspor;Erzurumspor FK;3;1;Süper Lig
21.03.2021;Konyaspor;Alanyaspor;1;0;Süper Lig
21.03.2021;Denizlispor;Başakşehir;0;0;Süper Lig
21.03.2021;Beşiktaş;Fenerbahçe;1;1;Süper Lig
12.03.2021;Başakşehir;Beşiktaş;2;3;Süper Lig
13.03.2021;Sivasspor;F. Karagümrük;1;0;Süper Lig
13.03.2021;Ç. Rizespor;Hatayspor;1;0;Süper Lig
13.03.2021;Alanyaspor;Antalyaspor;4;0;Süper Lig
13.03.2021;Kayserispor;Galatasaray;0;3;Süper Lig
14.03.2021;Ankaragücü;Göztepe;3;0;Süper Lig
14.03.2021;Erzurumspor FK;Trabzonspor;0;0;Süper Lig
14.03.2021;Gaziantep FK;Denizlispor;2;0;Süper Lig
14.03.2021;Fenerbahçe;Gençlerbirliği;1;2;Süper Lig
15.03.2021;Kasımpaşa;Konyaspor;1;1;Süper Lig
06.03.2021;Denizlispor;Yeni Malatyaspor;3;2;Süper Lig
06.03.2021;Beşiktaş;Gaziantep FK;2;1;Süper Lig
07.03.2021;F. Karagümrük;Ankaragücü;0;1;Süper Lig
07.03.2021;Hatayspor;Kayserispor;1;3;Süper Lig
07.03.2021;Gençlerbirliği;Başakşehir;0;1;Süper Lig
07.03.2021;Galatasaray;Sivasspor;2;2;Süper Lig
08.03.2021;Trabzonspor;Alanyaspor;1;3;Süper Lig
08.03.2021;Antalyaspor;Kasımpaşa;1;1;Süper Lig
08.03.2021;Göztepe;Erzurumspor FK;3;1;Süper Lig
08.03.2021;Konyaspor;Fenerbahçe;0;3;Süper Lig
02.03.2021;Gaziantep FK;Gençlerbirliği;2;1;Süper Lig
02.03.2021;Yeni Malatyaspor;Beşiktaş;0;1;Süper Lig
03.03.2021;Erzurumspor FK;F. Karagümrük;2;2;Süper Lig
03.03.2021;Sivasspor;Hatayspor;1;1;Süper Lig
03.03.2021;Başakşehir;Konyaspor;1;1;Süper Lig
03.03.2021;Ankaragücü;Galatasaray;2;1;Süper Lig
03.03.2021;Kayserispor;Ç. Rizespor;2;1;Süper Lig
04.03.2021;Alanyaspor;Göztepe;1;1;Süper Lig
04.03.2021;Kasımpaşa;Trabzonspor;1;2;Süper Lig
04.03.2021;Fenerbahçe;Antalyaspor;1;1;Süper Lig
26.02.2021;Konyaspor;Gaziantep FK;0;0;Süper Lig
26.02.2021;Gençlerbirliği;Yeni Malatyaspor;1;1;Süper Lig
26.02.2021;Beşiktaş;Denizlispor;3;0;Süper Lig
27.02.2021;Hatayspor;Ankaragücü;4;1;Süper Lig
27.02.2021;F. Karagümrük;Alanyaspor;2;0;Süper Lig
27.02.2021;Ç. Rizespor;Sivasspor;0;0;Süper Lig
27.02.2021;Antalyaspor;Başakşehir;0;0;Süper Lig
27.02.2021;Galatasaray;Erzurumspor FK;2;0;Süper Lig
28.02.2021;Göztepe;Kasımpaşa;1;0;Süper Lig
28.02.2021;Trabzonspor;Fenerbahçe;0;1;Süper Lig
19.02.2021;Başakşehir;Trabzonspor;0;1;Süper Lig
20.02.2021;Kasımpaşa;F. Karagümrük;3;2;Süper Lig
20.02.2021;Yeni Malatyaspor;Konyaspor;2;3;Süper Lig
20.02.2021;Denizlispor;Gençlerbirliği;1;0;Süper Lig
20.02.2021;Alanyaspor;Galatasaray;0;1;Süper Lig
21.02.2021;Erzurumspor FK;Hatayspor;1;3;Süper Lig
21.02.2021;Sivasspor;Kayserispor;2;0;Süper Lig
21.02.2021;Gaziantep FK;Antalyaspor;0;0;Süper Lig
21.02.2021;Fenerbahçe;Göztepe;0;1;Süper Lig
22.02.2021;Ankaragücü;Ç. Rizespor;1;1;Süper Lig
12.02.2021;Ç. Rizespor;Erzurumspor FK;0;2;Süper Lig
13.02.2021;Kayserispor;Ankaragücü;0;0;Süper Lig
13.02.2021;Trabzonspor;Gaziantep FK;1;0;Süper Lig
13.02.2021;F. Karagümrük;Fenerbahçe;1;2;Süper Lig
14.02.2021;Konyaspor;Denizlispor;2;0;Süper Lig
14.02.2021;Hatayspor;Alanyaspor;0;0;Süper Lig
14.02.2021;Galatasaray;Kasımpaşa;2;1;Süper Lig
14.02.2021;Göztepe;Başakşehir;2;1;Süper Lig
