date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
21.05.2017;Arsenal;Everton;3;1;Premier League;Fair;SSW;9 mph;54  °F;77%;30.19 in
21.05.2017;Burnley;West Ham;1;2;Premier League;Fair;SW;7 mph;46  °F;87%;29.33 in
21.05.2017;Chelsea;Sunderland;5;1;Premier League;Fair;SSW;9 mph;54  °F;77%;30.19 in
21.05.2017;Hull City;Tottenham;1;7;Premier League;Fair;S;9 mph;50  °F;94%;30.01 in
21.05.2017;Leicester City;Bournemouth;1;1;Premier League;Fair;SSW;7 mph;46  °F;93%;29.81 in
21.05.2017;Liverpool;Middlesbrough;3;0;Premier League;Fair;S;5 mph;50  °F;82%;30.00 in
21.05.2017;Man. United;Crystal Palace;2;0;Premier League;Fair;S;6 mph;48  °F;82%;29.84 in
21.05.2017;Southampton;Stoke City;0;1;Premier League;Fair;CALM;0 mph;46  °F;100%;30.21 in
21.05.2017;Swansea City;West Bromwich;2;1;Premier League;Fair;WSW;8 mph;50  °F;87%;29.94 in
21.05.2017;Watford;Man. City;0;5;Premier League;Fair;SSW;9 mph;54  °F;77%;30.19 in
12.05.2017;Everton;Watford;1;0;Premier League;Fair;E;10 mph;55  °F;58%;29.29 in
12.05.2017;West Bromwich;Chelsea;0;1;Premier League;Fair;E;6 mph;55  °F;67%;29.04 in
13.05.2017;Man. City;Leicester City;2;1;Premier League;Mostly Cloudy;VAR;5 mph;54  °F;88%;29.17 in
13.05.2017;Bournemouth;Burnley;2;1;Premier League;Mostly Cloudy;SW;6 mph;54  °F;88%;29.61 in
13.05.2017;Middlesbrough;Southampton;1;2;Premier League;Partly Cloudy;S;13 mph;54  °F;88%;29.34 in
13.05.2017;Sunderland;Swansea City;0;2;Premier League;Mist;ENE;2 mph;48  °F;100%;29.19 in
13.05.2017;Stoke City;Arsenal;1;4;Premier League;Mostly Cloudy;VAR;5 mph;54  °F;88%;29.17 in
14.05.2017;Crystal Palace;Hull City;4;0;Premier League;Fair;W;16 mph;61  °F;59%;30.01 in
14.05.2017;West Ham;Liverpool;0;4;Premier League;Fair;W;16 mph;61  °F;59%;30.01 in
14.05.2017;Tottenham;Man. United;2;1;Premier League;Fair;W;16 mph;61  °F;59%;30.01 in
5.05.2017;West Ham;Tottenham;1;0;Premier League;Cloudy;NNE;10 mph;50  °F;76%;30.22 in
6.05.2017;Man. City;Crystal Palace;5;0;Premier League;Fair;ENE;7 mph;45  °F;81%;29.81 in
6.05.2017;Bournemouth;Stoke City;2;2;Premier League;Fair;NE;15 mph;48  °F;82%;29.79 in
6.05.2017;Burnley;West Bromwich;2;2;Premier League;Partly Cloudy;NE;12 mph;41  °F;93%;29.36 in
6.05.2017;Hull City;Sunderland;0;2;Premier League;Cloudy;ENE;9 mph;46  °F;93%;30.01 in
6.05.2017;Leicester City;Watford;3;0;Premier League;Mostly Cloudy;NE;15 mph;46  °F;87%;29.72 in
6.05.2017;Swansea City;Everton;1;0;Premier League;Cloudy;E;18 mph;52  °F;71%;29.68 in
7.05.2017;Liverpool;Southampton;0;0;Premier League;Mostly Cloudy;NE;8 mph;50  °F;82%;30.00 in
7.05.2017;Arsenal;Man. United;2;0;Premier League;Haze;N;7 mph;52  °F;82%;29.98 in
8.05.2017;Chelsea;Middlesbrough;3;0;Premier League;Fair;N;7 mph;50  °F;76%;30.22 in
29.04.2017;Southampton;Hull City;0;0;Premier League;Mostly Cloudy;CALM;0 mph;36  °F;100%;29.97 in
29.04.2017;Stoke City;West Ham;0;0;Premier League;Partly Cloudy;E;2 mph;46  °F;87%;29.70 in
29.04.2017;Sunderland;Bournemouth;0;1;Premier League;Light Rain Shower;S;2 mph;43  °F;93%;29.66 in
29.04.2017;West Bromwich;Leicester City;0;1;Premier League;Fair;W;6 mph;50  °F;82%;29.62 in
29.04.2017;Crystal Palace;Burnley;0;2;Premier League;Fair;VAR;3 mph;54  °F;62%;30.01 in
30.04.2017;Man. United;Swansea City;1;1;Premier League;Fair;E;7 mph;48  °F;71%;29.49 in
30.04.2017;Everton;Chelsea;0;3;Premier League;Fair;E;14 mph;50  °F;71%;29.65 in
30.04.2017;Middlesbrough;Man. City;2;2;Premier League;Fair;SE;9 mph;45  °F;87%;29.67 in
30.04.2017;Tottenham;Arsenal;2;0;Premier League;Fair;E;17 mph;54  °F;62%;29.81 in
1.05.2017;Watford;Liverpool;0;1;Premier League;Light Rain;SSE;6 mph;54  °F;88%;29.48 in
22.04.2017;Bournemouth;Middlesbrough;4;0;Premier League;Mostly Cloudy;WNW;5 mph;50  °F;82%;30.35 in
22.04.2017;Hull City;Watford;2;0;Premier League;Cloudy;E;5 mph;45  °F;100%;30.27 in
22.04.2017;Swansea City;Stoke City;2;0;Premier League;Cloudy;NNW;8 mph;50  °F;82%;30.20 in
22.04.2017;West Ham;Everton;0;0;Premier League;Cloudy;WNW;12 mph;55  °F;63%;30.37 in
23.04.2017;Burnley;Man. United;0;2;Premier League;Fair;SSW;5 mph;37  °F;81%;29.62 in
23.04.2017;Liverpool;Crystal Palace;1;2;Premier League;Fair;CALM;0 mph;45  °F;81%;30.29 in
25.04.2017;Chelsea;Southampton;4;2;Premier League;Fair;WNW;17 mph;45  °F;46%;29.90 in
16.05.2017;Arsenal;Sunderland;2;0;Premier League;Mostly Cloudy;SSW;8 mph;63  °F;82%;30.22 in
16.05.2017;Man. City;West Bromwich;3;1;Premier League;Mostly Cloudy;S;6 mph;61  °F;88%;29.78 in
18.05.2017;Leicester City;Tottenham;1;6;Premier League;Fair;W;8 mph;48  °F;100%;29.55 in
15.04.2017;Tottenham;Bournemouth;4;0;Premier League;Partly Cloudy;WSW;15 mph;54  °F;77%;29.96 in
15.04.2017;Crystal Palace;Leicester City;2;2;Premier League;Partly Cloudy;WSW;15 mph;54  °F;77%;29.96 in
15.04.2017;Everton;Burnley;3;1;Premier League;Mostly Cloudy;W;13 mph;48  °F;93%;29.85 in
15.04.2017;Stoke City;Hull City;3;1;Premier League;Mostly Cloudy;W;9 mph;46  °F;93%;29.67 in
15.04.2017;Sunderland;West Ham;2;2;Premier League;Fair;W;13 mph;41  °F;100%;29.54 in
15.04.2017;Watford;Swansea City;1;0;Premier League;Partly Cloudy;WSW;15 mph;54  °F;77%;29.96 in
15.04.2017;Southampton;Man. City;0;3;Premier League;Fair;WSW;1 mph;46  °F;93%;30.00 in
16.04.2017;West Bromwich;Liverpool;0;1;Premier League;Fair;W;6 mph;46  °F;71%;29.80 in
16.04.2017;Man. United;Chelsea;2;0;Premier League;Fair;W;5 mph;41  °F;81%;29.87 in
17.04.2017;Middlesbrough;Arsenal;1;2;Premier League;Mostly Cloudy;NNW;6 mph;39  °F;93%;30.05 in
8.04.2017;Tottenham;Watford;4;0;Premier League;Fair;NE;2 mph;52  °F;76%;30.25 in
8.04.2017;Man. City;Hull City;3;1;Premier League;Fair;ESE;1 mph;39  °F;87%;29.99 in
8.04.2017;Middlesbrough;Burnley;0;0;Premier League;Fair;SSW;3 mph;32  °F;93%;30.08 in
8.04.2017;Stoke City;Liverpool;1;2;Premier League;Fair;ESE;1 mph;39  °F;87%;29.99 in
8.04.2017;West Bromwich;Southampton;0;1;Premier League;Fair;VAR;3 mph;37  °F;100%;29.91 in
8.04.2017;West Ham;Swansea City;1;0;Premier League;Fair;NE;2 mph;52  °F;76%;30.25 in
8.04.2017;Bournemouth;Chelsea;1;3;Premier League;Fair;NNW;2 mph;39  °F;87%;30.23 in
9.04.2017;Sunderland;Man. United;0;3;Premier League;Fair;SW;1 mph;41  °F;76%;29.77 in
9.04.2017;Everton;Leicester City;4;2;Premier League;Fair;S;5 mph;54  °F;77%;30.00 in
10.04.2017;Crystal Palace;Arsenal;3;0;Premier League;Fair;WNW;15 mph;55  °F;67%;30.13 in
4.04.2017;Burnley;Stoke City;1;0;Premier League;Partly Cloudy;SW;15 mph;50  °F;76%;29.36 in
4.04.2017;Leicester City;Sunderland;2;0;Premier League;Partly Cloudy;SW;12 mph;50  °F;82%;29.81 in
4.04.2017;Watford;West Bromwich;2;0;Premier League;Fair;SW;10 mph;50  °F;76%;30.22 in
4.04.2017;Man. United;Everton;1;1;Premier League;Fair;VAR;2 mph;50  °F;76%;29.84 in
5.04.2017;Arsenal;West Ham;3;0;Premier League;Fair;NW;5 mph;50  °F;82%;30.40 in
5.04.2017;Hull City;Middlesbrough;4;2;Premier League;Fair;W;6 mph;45  °F;81%;30.30 in
5.04.2017;Swansea City;Tottenham;1;3;Premier League;Fair;N;6 mph;41  °F;87%;30.23 in
