date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
26.07.2020;Arsenal;Watford;3;2;Premier League;Partly Cloudy;WSW;13 mph;61  °F;82%;29.69 in
26.07.2020;Burnley;Brighton;1;2;Premier League;Fair;WSW;14 mph;57  °F;82%;28.90 in
26.07.2020;Chelsea;Wolverhampton;2;0;Premier League;Partly Cloudy;WSW;13 mph;61  °F;82%;29.69 in
26.07.2020;Crystal Palace;Tottenham;1;1;Premier League;Partly Cloudy;WSW;13 mph;61  °F;82%;29.69 in
26.07.2020;Everton;Bournemouth;1;3;Premier League;Fair;SW;7 mph;59  °F;82%;29.56 in
26.07.2020;Leicester City;Man. United;0;2;Premier League;Partly Cloudy;SW;13 mph;57  °F;88%;29.34 in
26.07.2020;Man. City;Norwich;5;0;Premier League;Partly Cloudy;SSW;6 mph;55  °F;94%;29.37 in
26.07.2020;Newcastle;Liverpool;1;3;Premier League;Partly Cloudy;VAR;3 mph;55  °F;88%;29.28 in
26.07.2020;Southampton;Sheffield Utd;3;1;Premier League;Fair;WSW;7 mph;61  °F;88%;29.81 in
26.07.2020;West Ham;Aston Villa;1;1;Premier League;Partly Cloudy;WSW;13 mph;61  °F;82%;29.69 in
18.07.2020;Norwich;Burnley;0;2;Premier League;Fair;WSW;7 mph;61  °F;82%;29.93 in
19.07.2020;Bournemouth;Southampton;0;2;Premier League;Light Rain;NE;1 mph;59  °F;94%;29.96 in
19.07.2020;Tottenham;Leicester City;3;0;Premier League;Fair;NW;8 mph;68  °F;64%;30.01 in
20.07.2020;Brighton;Newcastle;0;0;Premier League;Mostly Cloudy;WNW;6 mph;54  °F;100%;29.90 in
20.07.2020;Sheffield Utd;Everton;0;1;Premier League;Fair;W;6 mph;48  °F;87%;29.84 in
20.07.2020;Wolverhampton;Crystal Palace;2;0;Premier League;Fair;NNW;7 mph;54  °F;72%;29.83 in
21.07.2020;Watford;Man. City;0;4;Premier League;Fair;N;3 mph;59  °F;63%;30.25 in
21.07.2020;Aston Villa;Arsenal;1;0;Premier League;Fair;VAR;3 mph;54  °F;67%;29.94 in
22.07.2020;Man. United;West Ham;1;1;Premier League;Fair;SSE;3 mph;54  °F;94%;30.02 in
22.07.2020;Liverpool;Chelsea;5;3;Premier League;Fair;S;6 mph;57  °F;82%;30.17 in
14.07.2020;Chelsea;Norwich;1;0;Premier League;Cloudy;W;9 mph;64  °F;77%;30.04 in
15.07.2020;Burnley;Wolverhampton;1;1;Premier League;Mostly Cloudy;WSW;6 mph;54  °F;94%;29.19 in
15.07.2020;Man. City;Bournemouth;2;1;Premier League;Drizzle;WSW;6 mph;54  °F;100%;29.70 in
15.07.2020;Newcastle;Tottenham;1;3;Premier League;Mostly Cloudy;WSW;8 mph;55  °F;82%;29.63 in
15.07.2020;Arsenal;Liverpool;2;1;Premier League;Cloudy;NNW;6 mph;61  °F;63%;29.98 in
16.07.2020;Everton;Aston Villa;1;1;Premier League;Mostly Cloudy;WNW;14 mph;59  °F;94%;29.97 in
16.07.2020;Leicester City;Sheffield Utd;2;0;Premier League;Mostly Cloudy;WSW;9 mph;57  °F;88%;29.70 in
16.07.2020;Crystal Palace;Man. United;0;2;Premier League;Cloudy;WNW;9 mph;63  °F;77%;30.04 in
16.07.2020;Southampton;Brighton;1;1;Premier League;Mostly Cloudy;NW;6 mph;63  °F;77%;30.07 in
17.07.2020;West Ham;Watford;3;1;Premier League;Cloudy;CALM;0 mph;68  °F;68%;30.13 in
11.07.2020;Norwich;West Ham;0;4;Premier League;Fair;W;5 mph;52  °F;82%;30.02 in
11.07.2020;Watford;Newcastle;2;1;Premier League;Fair;WNW;7 mph;59  °F;67%;30.19 in
11.07.2020;Liverpool;Burnley;1;1;Premier League;Mostly Cloudy;WNW;12 mph;55  °F;77%;30.15 in
11.07.2020;Sheffield Utd;Chelsea;3;0;Premier League;Fair;W;12 mph;50  °F;87%;29.87 in
11.07.2020;Brighton;Man. City;0;5;Premier League;Fair;VAR;3 mph;52  °F;71%;29.99 in
12.07.2020;Wolverhampton;Everton;3;0;Premier League;Fair;VAR;1 mph;50  °F;76%;30.03 in
12.07.2020;Aston Villa;Crystal Palace;2;0;Premier League;Fair;VAR;1 mph;50  °F;76%;30.03 in
12.07.2020;Tottenham;Arsenal;2;1;Premier League;Fair;E;3 mph;59  °F;67%;30.34 in
12.07.2020;Bournemouth;Leicester City;4;1;Premier League;Fair;VAR;2 mph;48  °F;93%;30.32 in
13.07.2020;Man. United;Southampton;2;2;Premier League;Mostly Cloudy;SW;3 mph;57  °F;67%;29.99 in
7.07.2020;Crystal Palace;Chelsea;2;3;Premier League;Fair;CALM;0 mph;61  °F;48%;30.19 in
7.07.2020;Watford;Norwich;2;1;Premier League;Fair;CALM;0 mph;61  °F;48%;30.19 in
7.07.2020;Arsenal;Leicester City;1;1;Premier League;Fair;CALM;0 mph;61  °F;48%;30.19 in
8.07.2020;Man. City;Newcastle;5;0;Premier League;Rain;VAR;2 mph;55  °F;100%;29.64 in
8.07.2020;Sheffield Utd;Wolverhampton;1;0;Premier League;Mostly Cloudy;S;8 mph;55  °F;100%;29.61 in
8.07.2020;West Ham;Burnley;0;1;Premier League;Light Rain;SSW;5 mph;59  °F;94%;29.98 in
8.07.2020;Brighton;Liverpool;1;3;Premier League;Light Rain;SSW;7 mph;59  °F;88%;29.78 in
9.07.2020;Bournemouth;Tottenham;0;0;Premier League;Light Rain;W;9 mph;59  °F;100%;29.87 in
9.07.2020;Everton;Southampton;1;1;Premier League;Drizzle;E;8 mph;57  °F;100%;29.73 in
9.07.2020;Aston Villa;Man. United;0;3;Premier League;Light Rain;SSW;6 mph;59  °F;100%;29.51 in
4.07.2020;Norwich;Brighton;0;1;Premier League;Cloudy;SW;16 mph;61  °F;77%;29.70 in
4.07.2020;Leicester City;Crystal Palace;3;0;Premier League;Mostly Cloudy / Windy;S;21 mph;59  °F;88%;29.43 in
4.07.2020;Man. United;Bournemouth;5;2;Premier League;Rain;S;9 mph;61  °F;88%;29.46 in
4.07.2020;Wolverhampton;Arsenal;0;2;Premier League;Cloudy;SSW;13 mph;59  °F;88%;29.45 in
4.07.2020;Chelsea;Watford;3;0;Premier League;Cloudy;SW;16 mph;61  °F;82%;29.90 in
5.07.2020;Burnley;Sheffield Utd;1;1;Premier League;Light Rain Shower / Windy;W;37 mph;55  °F;82%;28.81 in
5.07.2020;Newcastle;West Ham;2;2;Premier League;Cloudy;SW;15 mph;63  °F;77%;29.10 in
5.07.2020;Liverpool;Aston Villa;2;0;Premier League;Cloudy / Windy;SSW;22 mph;63  °F;88%;29.50 in
5.07.2020;Southampton;Man. City;1;0;Premier League;Partly Cloudy;W;14 mph;68  °F;46%;29.87 in
6.07.2020;Tottenham;Everton;1;0;Premier League;Fair;W;16 mph;59  °F;63%;29.93 in
27.06.2020;Aston Villa;Wolverhampton;0;1;Premier League;Fair;S;7 mph;61  °F;82%;29.36 in
28.06.2020;Watford;Southampton;1;3;Premier League;Light Rain;SW;13 mph;61  °F;72%;29.69 in
29.06.2020;Crystal Palace;Burnley;0;1;Premier League;Fair;WSW;13 mph;57  °F;67%;29.81 in
