date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
11.08.2000;B. Dortmund;H. Rostock;1;0;Bundesliga;Mostly Cloudy;W;6 mph;63 °F;82 %;29.55 in
12.08.2000;Werder Bremen;E. Cottbus;3;1;Bundesliga;Mostly Cloudy;W;6 mph;63 °F;82 %;29.55 in
12.08.2000;Bayern Münih;Hertha Berlin;4;1;Bundesliga;Fair;WSW;6 mph;60 °F;93 %;30.06 in
12.08.2000;B. Leverkusen;Wolfsburg;2;0;Bundesliga;Fair;WSW;10 mph;47 °F;78 %;30.06 in
12.08.2000;Hamburg;1860 München;2;2;Bundesliga;Fair;WSW;6 mph;47 °F;92 %;30.06 in
12.08.2000;Freiburg;Stuttgart;4;0;Bundesliga;Fair;WSW;7 mph;51 °F;97 %;30.06 in
12.08.2000;Kaiserslautern;Bochum;0;1;Bundesliga;Fair;WSW;10 mph;41 °F;84 %;30.06 in
13.08.2000;Schalke 04;Köln;2;1;Bundesliga;Fair;WSW;7 mph;50 °F;85 %;30.06 in
13.08.2000;E. Frankfurt;Unterhaching;3;0;Bundesliga;Fair;WSW;5 mph;42 °F;76 %;30.06 in
18.08.2000;E. Cottbus;B. Dortmund;1;4;Bundesliga;Fair;WSW;8 mph;55 °F;72 %;30.06 in
19.08.2000;Stuttgart;B. Leverkusen;4;1;Bundesliga;Fair;WSW;7 mph;59 °F;83 %;30.06 in
19.08.2000;Bochum;Bayern Münih;0;3;Bundesliga;Fair;WSW;10 mph;41 °F;88 %;30.06 in
19.08.2000;Wolfsburg;Kaiserslautern;4;0;Bundesliga;Fair;WSW;7 mph;46 °F;69 %;30.06 in
19.08.2000;Hertha Berlin;Hamburg;4;0;Bundesliga;Fair;WSW;7 mph;56 °F;97 %;30.06 in
19.08.2000;1860 München;Werder Bremen;2;1;Bundesliga;Fair;WSW;6 mph;46 °F;75 %;30.06 in
19.08.2000;Unterhaching;Freiburg;1;1;Bundesliga;Fair;WSW;7 mph;53 °F;93 %;30.06 in
