date;home_team;away_team;home_score;away_score;League;weather;wind;temperature;wind_speed;humidity;pressure
25.04.2009;Hannover 96;Köln;2;1;Bundesliga;Fair;E;55 °F;9 mph;51 %;30.06 in
26.04.2009;E. Cottbus;Wolfsburg;2;0;Bundesliga;Fair;VAR;63 °F;1 mph;55 %;29.86 in
26.04.2009;M'gladbach;A. Bielefeld;1;1;Bundesliga;Mostly Cloudy;E;55 °F;5 mph;82 %;29.76 in
17.04.2009;Schalke 04;E. Cottbus;4;0;Bundesliga;Fair;ENE;52 °F;13 mph;67 %;29.74 in
18.04.2009;A. Bielefeld;Bayern Münih;0;1;Bundesliga;Fair;NNE;43 °F;5 mph;76 %;29.80 in
18.04.2009;Köln;Stuttgart;0;3;Bundesliga;Fair;NNE;43 °F;5 mph;76 %;29.80 in
18.04.2009;Wolfsburg;B. Leverkusen;2;1;Bundesliga;Fair;WSW;58 °F;7 mph;90 %;30.06 in
18.04.2009;Bochum;B. Dortmund;0;2;Bundesliga;Fair;VAR;39 °F;2 mph;100 %;29.41 in
18.04.2009;E. Frankfurt;M'gladbach;4;1;Bundesliga;Mostly Cloudy;SSW;48 °F;7 mph;100 %;29.37 in
18.04.2009;Karlsruher;Hoffenheim;2;2;Bundesliga;Fair;NNE;43 °F;5 mph;76 %;29.80 in
19.04.2009;Hertha Berlin;Werder Bremen;2;1;Bundesliga;Fair;ENE;45 °F;7 mph;66 %;30.12 in
19.04.2009;Hamburg;Hannover 96;2;1;Bundesliga;Fair;ENE;45 °F;7 mph;66 %;30.12 in
11.04.2009;M'gladbach;Wolfsburg;1;2;Bundesliga;Fair;VAR;57 °F;1 mph;59 %;29.55 in
11.04.2009;Bayern Münih;E. Frankfurt;4;0;Bundesliga;Fair;S;52 °F;8 mph;67 %;28.22 in
11.04.2009;Hannover 96;Hertha Berlin;2;0;Bundesliga;Fair;E;57 °F;9 mph;63 %;29.80 in
11.04.2009;Schalke 04;Karlsruher;2;0;Bundesliga;Fair;E;57 °F;9 mph;63 %;29.80 in
11.04.2009;Hoffenheim;Bochum;0;3;Bundesliga;Fair;ENE;53 °F;2 mph;77 %;29.36 in
11.04.2009;E. Cottbus;A. Bielefeld;2;1;Bundesliga;Fair;E;57 °F;9 mph;63 %;29.80 in
11.04.2009;B. Dortmund;Köln;3;1;Bundesliga;Fair;SSW;57 °F;8 mph;67 %;29.29 in
12.04.2009;B. Leverkusen;Werder Bremen;1;1;Bundesliga;Fair;WSW;57 °F;2 mph;67 %;29.42 in
12.04.2009;Stuttgart;Hamburg;1;0;Bundesliga;Fair;VAR;55 °F;1 mph;47 %;28.32 in
03.04.2009;A. Bielefeld;Schalke 04;0;2;Bundesliga;Fair;ENE;45 °F;7 mph;81 %;30.09 in
04.04.2009;Wolfsburg;Bayern Münih;5;1;Bundesliga;Fair;WSW;42 °F;6 mph;97 %;30.06 in
04.04.2009;Bochum;Stuttgart;1;2;Bundesliga;Fair;SW;52 °F;8 mph;88 %;29.55 in
04.04.2009;Hertha Berlin;B. Dortmund;1;3;Bundesliga;Fair;ENE;50 °F;3 mph;76 %;29.92 in
04.04.2009;E. Frankfurt;E. Cottbus;2;1;Bundesliga;Fair;S;57 °F;8 mph;72 %;29.64 in
04.04.2009;Hamburg;Hoffenheim;1;0;Bundesliga;Fair;ENE;50 °F;3 mph;76 %;29.92 in
05.04.2009;Köln;B. Leverkusen;0;2;Bundesliga;Mostly Cloudy;W;50 °F;10 mph;76 %;30.06 in
05.04.2009;Werder Bremen;Hannover 96;4;1;Bundesliga;Mostly Cloudy;W;52 °F;13 mph;71 %;30.12 in
05.04.2009;Karlsruher;M'gladbach;0;0;Bundesliga;Mostly Cloudy;W;50 °F;10 mph;76 %;30.06 in
20.03.2009;M'gladbach;Bochum;0;1;Bundesliga;Fair;NNE;34 °F;6 mph;81 %;30.29 in
21.03.2009;B. Dortmund;Werder Bremen;1;0;Bundesliga;Fair;S;30 °F;7 mph;80 %;29.93 in
21.03.2009;A. Bielefeld;Wolfsburg;0;3;Bundesliga;Fair;S;34 °F;2 mph;70 %;30.39 in
21.03.2009;Hoffenheim;Hannover 96;2;2;Bundesliga;Fair;NNE;29 °F;2 mph;72 %;30.11 in
21.03.2009;B. Leverkusen;E. Frankfurt;1;1;Bundesliga;Fair;E;36 °F;5 mph;60 %;30.06 in
21.03.2009;Stuttgart;Hertha Berlin;2;0;Bundesliga;Fair;NE;28 °F;1 mph;59 %;28.91 in
21.03.2009;Bayern Münih;Karlsruher;1;0;Bundesliga;Fair;N;28 °F;2 mph;74 %;28.78 in
21.03.2009;E. Cottbus;Köln;0;2;Bundesliga;Fair;S;34 °F;2 mph;70 %;30.39 in
22.03.2009;Schalke 04;Hamburg;1;2;Bundesliga;Mostly Cloudy;W;41 °F;14 mph;93 %;30.06 in
13.03.2009;Wolfsburg;Schalke 04;4;3;Bundesliga;Fair;WSW;53 °F;6 mph;76 %;30.06 in
14.03.2009;Bochum;Bayern Münih;0;3;Bundesliga;Mostly Cloudy;S;43 °F;10 mph;81 %;29.58 in
14.03.2009;Hertha Berlin;B. Leverkusen;1;0;Bundesliga;Partly Cloudy;SW;37 °F;2 mph;100 %;30.03 in
14.03.2009;Hannover 96;B. Dortmund;4;4;Bundesliga;Partly Cloudy;SW;37 °F;2 mph;100 %;30.03 in
14.03.2009;Karlsruher;A. Bielefeld;0;1;Bundesliga;Partly Cloudy;SW;37 °F;2 mph;100 %;30.03 in
14.03.2009;Köln;M'gladbach;2;4;Bundesliga;Partly Cloudy;SW;37 °F;2 mph;100 %;30.03 in
14.03.2009;E. Frankfurt;Hoffenheim;1;1;Bundesliga;Fair;VAR;41 °F;2 mph;81 %;29.75 in
15.03.2009;Werder Bremen;Stuttgart;4;0;Bundesliga;Mostly Cloudy;W;46 °F;12 mph;87 %;29.94 in
15.03.2009;Hamburg;E. Cottbus;2;0;Bundesliga;Mostly Cloudy;W;45 °F;10 mph;93 %;29.89 in
06.03.2009;Schalke 04;Köln;1;0;Bundesliga;Cloudy;NE;39 °F;9 mph;93 %;29.30 in
07.03.2009;Hoffenheim;Werder Bremen;0;0;Bundesliga;Cloudy;W;39 °F;9 mph;86 %;29.36 in
07.03.2009;M'gladbach;Hamburg;4;1;Bundesliga;Fair;WNW;39 °F;12 mph;81 %;29.58 in
07.03.2009;Bayern Münih;Hannover 96;5;1;Bundesliga;Cloudy;WSW;36 °F;16 mph;93 %;28.06 in
07.03.2009;E. Cottbus;Hertha Berlin;1;3;Bundesliga;Mostly Cloudy;NNW;36 °F;6 mph;100 %;29.53 in
07.03.2009;Wolfsburg;Karlsruher;1;0;Bundesliga;Fair;WSW;47 °F;7 mph;80 %;30.06 in
07.03.2009;Stuttgart;B. Dortmund;2;1;Bundesliga;Mostly Cloudy;W;34 °F;12 mph;93 %;28.20 in
08.03.2009;A. Bielefeld;E. Frankfurt;0;0;Bundesliga;Mostly Cloudy;SSE;39 °F;7 mph;81 %;29.74 in
08.03.2009;B. Leverkusen;Bochum;1;1;Bundesliga;Fair;S;45 °F;7 mph;71 %;29.54 in
