date;home_team;away_team;home_score;away_score;League;weather;wind;temperature;wind_speed;humidity;pressure
19.05.2007;Wolfsburg;Werder Bremen;0;2;Bundesliga;Fair;WSW;49 °F;5 mph;92 %;30.06 in
19.05.2007;E. Frankfurt;Hertha Berlin;1;2;Bundesliga;Fair;SSW;55 °F;1 mph;82 %;29.58 in
19.05.2007;B. Leverkusen;B. Dortmund;2;1;Bundesliga;Partly Cloudy;SE;61 °F;7 mph;82 %;29.56 in
19.05.2007;Hannover 96;Nürnberg;0;3;Bundesliga;Fair;SSE;61 °F;10 mph;68 %;29.77 in
19.05.2007;Bayern Münih;Mainz;5;2;Bundesliga;Fair;VAR;48 °F;1 mph;82 %;28.48 in
19.05.2007;Schalke 04;A. Bielefeld;2;1;Bundesliga;Fair;SSE;61 °F;10 mph;68 %;29.77 in
19.05.2007;M'gladbach;Bochum;0;2;Bundesliga;Mostly Cloudy;S;66 °F;13 mph;73 %;29.73 in
19.05.2007;Hamburg;A. Aachen;4;0;Bundesliga;Fair;SSE;61 °F;10 mph;68 %;29.77 in
19.05.2007;Stuttgart;E. Cottbus;2;1;Bundesliga;Fair;WSW;54 °F;1 mph;88 %;28.57 in
12.05.2007;E. Cottbus;Bayern Münih;0;3;Bundesliga;Mostly Cloudy;SW;46 °F;5 mph;87 %;29.65 in
12.05.2007;Nürnberg;Hamburg;0;2;Bundesliga;Mostly Cloudy;SW;46 °F;5 mph;87 %;29.65 in
12.05.2007;B. Dortmund;Schalke 04;2;0;Bundesliga;Mostly Cloudy;S;50 °F;10 mph;94 %;29.15 in
12.05.2007;Hertha Berlin;B. Leverkusen;2;3;Bundesliga;Mostly Cloudy;SW;46 °F;5 mph;87 %;29.65 in
12.05.2007;Bochum;Stuttgart;2;3;Bundesliga;Mostly Cloudy;S;50 °F;10 mph;94 %;29.15 in
12.05.2007;Mainz;M'gladbach;3;0;Bundesliga;Fair;SSW;52 °F;2 mph;76 %;29.43 in
12.05.2007;A. Bielefeld;Hannover 96;3;1;Bundesliga;Mostly Cloudy;SW;46 °F;5 mph;87 %;29.65 in
