date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
15.04.2017;Leipzig;Freiburg;4;0;Bundesliga;Fair;W;7 mph;46 °F;81 %;29.47 in
15.04.2017;B. Leverkusen;Bayern Münih;0;0;Bundesliga;Fair;SE;1 mph;45 °F;81 %;29.62 in
16.04.2017;Werder Bremen;Hamburg;2;1;Bundesliga;Partly Cloudy;W;17 mph;43 °F;76 %;29.88 in
16.04.2017;Darmstadt 98;Schalke 04;2;1;Bundesliga;Partly Cloudy;WSW;12 mph;41 °F;87 %;29.77 in
07.04.2017;E. Frankfurt;Werder Bremen;2;2;Bundesliga;Fair;N;10 mph;48 °F;62 %;29.90 in
08.04.2017;Schalke 04;Wolfsburg;4;1;Bundesliga;Mostly Cloudy;W;9 mph;46 °F;93 %;30.12 in
08.04.2017;Köln;M'gladbach;2;3;Bundesliga;Mostly Cloudy;W;9 mph;46 °F;93 %;30.12 in
08.04.2017;Hamburg;Hoffenheim;2;1;Bundesliga;Mostly Cloudy;W;9 mph;46 °F;93 %;30.12 in
08.04.2017;Freiburg;Mainz;1;0;Bundesliga;Fair;NNW;8 mph;46 °F;71 %;29.28 in
08.04.2017;Leipzig;B. Leverkusen;1;0;Bundesliga;Mostly Cloudy;NW;15 mph;52 °F;82 %;29.68 in
08.04.2017;Bayern Münih;B. Dortmund;4;1;Bundesliga;Light Rain;W;6 mph;46 °F;76 %;28.67 in
09.04.2017;Hertha Berlin;Augsburg;2;0;Bundesliga;Mostly Cloudy;CALM;0 mph;46 °F;87 %;30.18 in
09.04.2017;Ingolstadt;Darmstadt 98;3;2;Bundesliga;Mostly Cloudy;CALM;0 mph;46 °F;87 %;30.18 in
04.04.2017;B. Dortmund;Hamburg;3;0;Bundesliga;Fair;SSE;7 mph;36 °F;87 %;29.76 in
04.04.2017;Köln;E. Frankfurt;1;0;Bundesliga;Fair;ESE;5 mph;45 °F;76 %;30.27 in
04.04.2017;Werder Bremen;Schalke 04;3;0;Bundesliga;Fair;E;2 mph;43 °F;76 %;30.27 in
04.04.2017;Hoffenheim;Bayern Münih;1;0;Bundesliga;Fair;N;4 mph;51 °F;67 %;29.88 in
05.04.2017;M'gladbach;Hertha Berlin;1;0;Bundesliga;Fair;NE;2 mph;43 °F;76 %;30.08 in
05.04.2017;Mainz;Leipzig;2;3;Bundesliga;Fair;NE;9 mph;48 °F;71 %;29.81 in
05.04.2017;Wolfsburg;Freiburg;0;1;Bundesliga;Cloudy;WNW;2 mph;50 °F;76 %;29.97 in
05.04.2017;Augsburg;Ingolstadt;2;3;Bundesliga;Fog;VAR;1 mph;36 °F;100 %;27.95 in
