date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
27.06.2020;B. Dortmund;Hoffenheim;0;4;Bundesliga;Mostly Cloudy;SSW;7 mph;72 °F;64%;29.38 in
27.06.2020;B. Leverkusen;Mainz;1;0;Bundesliga;Mostly Cloudy;SSW;7 mph;72 °F;64%;29.38 in
27.06.2020;M'gladbach;Hertha Berlin;2;1;Bundesliga;Light Rain;S;9 mph;73 °F;65%;29.67 in
27.06.2020;Wolfsburg;Bayern Münih;0;4;Bundesliga;Fair;ESE;2 mph;69 °F;72%;29.57 in
27.06.2020;E. Frankfurt;Paderborn;3;2;Bundesliga;Fair;SSW;7 mph;68 °F;78%;29.49 in
27.06.2020;Werder Bremen;Köln;6;1;Bundesliga;Fair;SE;3 mph;72 °F;64%;29.79 in
27.06.2020;Freiburg;Schalke 04;4;0;Bundesliga;Fair;S;3 mph;66 °F;88%;29.00 in
27.06.2020;Augsburg;Leipzig;1;2;Bundesliga;Mostly Cloudy;S;7 mph;64 °F;77%;27.82 in
27.06.2020;Union Berlin;F. Düsseldorf;3;0;Bundesliga;Fair;S;9 mph;63 °F;94%;28.42 in
20.06.2020;Bayern Münih;Freiburg;3;1;Bundesliga;Fair;W;13 mph;57 °F;82%;28.56 in
20.06.2020;Leipzig;B. Dortmund;0;2;Bundesliga;Showers in the Vicinity;NW;5 mph;63 °F;88%;29.53 in
20.06.2020;Hoffenheim;Union Berlin;4;0;Bundesliga;Light Drizzle;S;7 mph;62 °F;85%;29.75 in
20.06.2020;F. Düsseldorf;Augsburg;1;1;Bundesliga;Fair;WNW;7 mph;61 °F;82%;29.95 in
20.06.2020;Hertha Berlin;B. Leverkusen;2;0;Bundesliga;Fair;WNW;7 mph;61 °F;82%;29.95 in
20.06.2020;Mainz;Werder Bremen;3;1;Bundesliga;Fair;SW;5 mph;61 °F;72%;29.69 in
20.06.2020;Schalke 04;Wolfsburg;1;4;Bundesliga;Fair;WNW;7 mph;61 °F;82%;29.95 in
20.06.2020;Köln;E. Frankfurt;1;1;Bundesliga;Fair;WNW;7 mph;61 °F;82%;29.95 in
20.06.2020;Paderborn;M'gladbach;1;3;Bundesliga;Fair;WNW;7 mph;61 °F;82%;29.95 in
16.06.2020;M'gladbach;Wolfsburg;3;0;Bundesliga;Fair;ESE;3 mph;68 °F;73%;29.85 in
16.06.2020;Werder Bremen;Bayern Münih;0;1;Bundesliga;Fair;NNW;6 mph;64 °F;83%;29.97 in
16.06.2020;Freiburg;Hertha Berlin;2;1;Bundesliga;Fair;SSW;3 mph;59 °F;88%;29.14 in
16.06.2020;Union Berlin;Paderborn;1;0;Bundesliga;Light Rain;WSW;7 mph;55 °F;100%;28.50 in
17.06.2020;E. Frankfurt;Schalke 04;2;1;Bundesliga;Fair;VAR;1 mph;59 °F;100%;29.55 in
17.06.2020;B. Dortmund;Mainz;0;2;Bundesliga;Mostly Cloudy;CALM;0 mph;61 °F;94%;29.50 in
17.06.2020;Leipzig;F. Düsseldorf;2;2;Bundesliga;Fair;WNW;7 mph;66 °F;83%;29.44 in
