date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
09.08.2002;B. Dortmund;Hertha Berlin;2;2;Bundesliga;Fair;S;8 mph;59 °F;88 %;29.32 in
10.08.2002;Stuttgart;Kaiserslautern;1;1;Bundesliga;Fair;S;8 mph;59 °F;88 %;29.32 in
10.08.2002;Schalke 04;Wolfsburg;1;0;Bundesliga;Fair;E;6 mph;66 °F;83 %;29.65 in
10.08.2002;M'gladbach;Bayern Münih;0;0;Bundesliga;Mostly Cloudy;SE;8 mph;64 °F;83 %;29.49 in
10.08.2002;Nürnberg;Bochum;1;3;Bundesliga;Fair;E;6 mph;66 °F;83 %;29.65 in
10.08.2002;E. Cottbus;B. Leverkusen;1;1;Bundesliga;Fair;E;6 mph;66 °F;83 %;29.65 in
11.08.2002;Hamburg;Hannover 96;2;1;Bundesliga;Fair;VAR;1 mph;66 °F;88 %;29.59 in
11.08.2002;A. Bielefeld;Werder Bremen;3;0;Bundesliga;Fair;VAR;1 mph;66 °F;88 %;29.59 in
14.08.2002;1860 München;H. Rostock;0;2;Bundesliga;Mostly Cloudy;WNW;8 mph;64 °F;83 %;29.98 in
17.08.2002;Bayern Münih;A. Bielefeld;6;2;Bundesliga;Fair;E;6 mph;63 °F;88 %;28.53 in
17.08.2002;B. Leverkusen;B. Dortmund;1;1;Bundesliga;Fair;E;9 mph;70 °F;64 %;29.71 in
17.08.2002;Bochum;E. Cottbus;5;0;Bundesliga;Fair;E;3 mph;63 °F;77 %;29.64 in
17.08.2002;H. Rostock;Nürnberg;2;0;Bundesliga;Fair;N;1 mph;63 °F;88 %;30.06 in
17.08.2002;Hannover 96;1860 München;1;3;Bundesliga;Fair;N;1 mph;63 °F;88 %;30.06 in
17.08.2002;Kaiserslautern;Schalke 04;1;3;Bundesliga;Fair;N;1 mph;63 °F;88 %;30.06 in
17.08.2002;Hertha Berlin;Stuttgart;1;1;Bundesliga;Fair;N;1 mph;63 °F;88 %;30.06 in
18.08.2002;Werder Bremen;Hamburg;2;1;Bundesliga;Fair;E;7 mph;70 °F;78 %;30.00 in
