date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
14.05.2016;Bayern Münih;Hannover 96;3;1;Bundesliga;Fair;W;8 mph;52 °F;100%;29.36 in
14.05.2016;B. Dortmund;Köln;2;2;Bundesliga;Fair;NNW;12 mph;45 °F;71%;29.36 in
14.05.2016;B. Leverkusen;Ingolstadt;3;2;Bundesliga;Fair;N;5 mph;57 °F;63%;29.36 in
14.05.2016;Wolfsburg;Stuttgart;3;1;Bundesliga;Fair;N;5 mph;57 °F;63%;29.36 in
14.05.2016;Augsburg;Hamburg;1;3;Bundesliga;Light Rain;WSW;2 mph;50 °F;94%;27.52 in
14.05.2016;Werder Bremen;E. Frankfurt;1;0;Bundesliga;Mostly Cloudy;NW;15 mph;48 °F;76%;29.71 in
14.05.2016;Hoffenheim;Schalke 04;1;4;Bundesliga;Light Rain;ENE;2 mph;56 °F;100%;29.32 in
14.05.2016;Mainz;Hertha Berlin;0;0;Bundesliga;Partly Cloudy;SSW;3 mph;54 °F;94%;29.26 in
14.05.2016;Darmstadt 98;M'gladbach;0;2;Bundesliga;Fair;WNW;12 mph;48 °F;82%;29.62 in
7.05.2016;Schalke 04;Augsburg;1;1;Bundesliga;Fair;ESE;8 mph;61 °F;52%;29.95 in
7.05.2016;M'gladbach;B. Leverkusen;2;1;Bundesliga;Fair;SE;7 mph;61 °F;55%;29.73 in
7.05.2016;Hamburg;Wolfsburg;0;1;Bundesliga;Fair;ESE;8 mph;61 °F;52%;29.95 in
7.05.2016;Stuttgart;Mainz;1;3;Bundesliga;Fair;VAR;2 mph;54 °F;67%;28.46 in
7.05.2016;E. Frankfurt;B. Dortmund;1;0;Bundesliga;Fair;NE;5 mph;59 °F;59%;29.49 in
7.05.2016;Köln;Werder Bremen;0;0;Bundesliga;Fair;ESE;8 mph;61 °F;52%;29.95 in
7.05.2016;Hannover 96;Hoffenheim;1;0;Bundesliga;Fair;ESE;8 mph;61 °F;52%;29.95 in
7.05.2016;Hertha Berlin;Darmstadt 98;1;2;Bundesliga;Fair;ESE;8 mph;61 °F;52%;29.95 in
7.05.2016;Ingolstadt;Bayern Münih;1;2;Bundesliga;Fair;ESE;8 mph;61 °F;52%;29.95 in
29.04.2016;Augsburg;Köln;0;0;Bundesliga;Fair;S;1 mph;30 °F;93%;27.84 in
30.04.2016;Bayern Münih;M'gladbach;1;1;Bundesliga;Fair;N;2 mph;39 °F;75%;28.48 in
30.04.2016;B. Dortmund;Wolfsburg;5;1;Bundesliga;Light Drizzle;W;5 mph;43 °F;81%;29.55 in
30.04.2016;Hannover 96;Schalke 04;1;3;Bundesliga;Fair;S;3 mph;45 °F;87%;29.95 in
30.04.2016;Hoffenheim;Ingolstadt;2;1;Bundesliga;Fair;ENE;4 mph;38 °F;93%;29.69 in
30.04.2016;Mainz;Hamburg;0;0;Bundesliga;Fair;SSW;3 mph;41 °F;70%;29.61 in
30.04.2016;Darmstadt 98;E. Frankfurt;1;2;Bundesliga;Fair;S;3 mph;45 °F;87%;29.95 in
30.04.2016;B. Leverkusen;Hertha Berlin;2;1;Bundesliga;Mostly Cloudy;VAR;2 mph;45 °F;87%;29.65 in
