date;home_team;away_team;home_score;away_score;League
13.08.2005;Everton;Man. United;0;2;Premier League
13.08.2005;Aston Villa;Bolton;2;2;Premier League
13.08.2005;Fulham;Birmingham;0;0;Premier League
13.08.2005;Man. City;West Bromwich;0;0;Premier League
13.08.2005;Portsmouth;Tottenham;0;2;Premier League
13.08.2005;Sunderland;Charlton;1;3;Premier League
13.08.2005;West Ham;Blackburn;3;1;Premier League
13.08.2005;Middlesbrough;Liverpool;0;0;Premier League
14.08.2005;Arsenal;Newcastle;2;0;Premier League
14.08.2005;Wigan Ath;Chelsea;0;1;Premier League
20.08.2005;Man. United;Aston Villa;1;0;Premier League
20.08.2005;Blackburn;Fulham;2;1;Premier League
20.08.2005;Charlton;Wigan Ath;1;0;Premier League
20.08.2005;Liverpool;Sunderland;1;0;Premier League
20.08.2005;Newcastle;West Ham;0;0;Premier League
20.08.2005;Tottenham;Middlesbrough;2;0;Premier League
20.08.2005;West Bromwich;Portsmouth;2;1;Premier League
20.08.2005;Birmingham;Man. City;1;2;Premier League
21.08.2005;Bolton;Everton;0;1;Premier League
21.08.2005;Chelsea;Arsenal;1;0;Premier League
23.08.2005;Birmingham;Middlesbrough;0;3;Premier League
23.08.2005;Portsmouth;Aston Villa;1;1;Premier League
23.08.2005;Sunderland;Man. City;1;2;Premier League
24.08.2005;Arsenal;Fulham;4;1;Premier League
24.08.2005;Chelsea;West Bromwich;4;0;Premier League
24.08.2005;Bolton;Newcastle;2;0;Premier League
24.08.2005;Blackburn;Tottenham;0;0;Premier League
27.08.2005;West Bromwich;Birmingham;2;3;Premier League
27.08.2005;Aston Villa;Blackburn;1;0;Premier League
27.08.2005;Fulham;Everton;1;0;Premier League
27.08.2005;Man. City;Portsmouth;2;1;Premier League
27.08.2005;Tottenham;Chelsea;0;2;Premier League
27.08.2005;West Ham;Bolton;1;2;Premier League
27.08.2005;Wigan Ath;Sunderland;1;0;Premier League
28.08.2005;Middlesbrough;Charlton;0;3;Premier League
28.08.2005;Newcastle;Man. United;0;2;Premier League
10.09.2005;Birmingham;Charlton;0;1;Premier League
10.09.2005;Chelsea;Sunderland;2;0;Premier League
10.09.2005;Everton;Portsmouth;0;1;Premier League
10.09.2005;Man. United;Man. City;1;1;Premier League
10.09.2005;Newcastle;Fulham;1;1;Premier League
10.09.2005;Tottenham;Liverpool;0;0;Premier League
10.09.2005;West Bromwich;Wigan Ath;1;2;Premier League
10.09.2005;Middlesbrough;Arsenal;2;1;Premier League
11.09.2005;Bolton;Blackburn;0;0;Premier League
12.09.2005;West Ham;Aston Villa;4;0;Premier League
17.09.2005;Charlton;Chelsea;0;2;Premier League
17.09.2005;Fulham;West Ham;1;2;Premier League
17.09.2005;Portsmouth;Birmingham;1;1;Premier League
17.09.2005;Sunderland;West Bromwich;1;1;Premier League
17.09.2005;Aston Villa;Tottenham;1;1;Premier League
18.09.2005;Liverpool;Man. United;0;0;Premier League
18.09.2005;Blackburn;Newcastle;0;3;Premier League
18.09.2005;Wigan Ath;Middlesbrough;1;1;Premier League
18.09.2005;Man. City;Bolton;0;1;Premier League
