date;home_team;away_team;home_score;away_score;League
04.06.2023;Mallorca;Rayo Vallecano;3;0;La Liga
04.06.2023;R. Sociedad;Sevilla;2;1;La Liga
04.06.2023;Real Madrid;Ath. Bilbao;1;1;La Liga
04.06.2023;Villarreal;Atl. Madrid;2;2;La Liga
04.06.2023;Osasuna;Girona;2;1;La Liga
04.06.2023;Real Betis;Valencia;1;1;La Liga
04.06.2023;Celta Vigo;Barcelona;2;1;La Liga
04.06.2023;R. Valladolid;Getafe;0;0;La Liga
04.06.2023;Elche;Cadiz;1;1;La Liga
04.06.2023;Espanyol;Almeria;3;3;La Liga
27.05.2023;Sevilla;Real Madrid;1;2;La Liga
28.05.2023;Ath. Bilbao;Elche;0;1;La Liga
28.05.2023;Atl. Madrid;R. Sociedad;2;1;La Liga
28.05.2023;Barcelona;Mallorca;3;0;La Liga
28.05.2023;Getafe;Osasuna;2;1;La Liga
28.05.2023;Cadiz;Celta Vigo;1;0;La Liga
28.05.2023;Rayo Vallecano;Villarreal;2;1;La Liga
28.05.2023;Almeria;R. Valladolid;0;0;La Liga
28.05.2023;Girona;Real Betis;1;2;La Liga
28.05.2023;Valencia;Espanyol;2;2;La Liga
23.05.2023;Celta Vigo;Girona;1;1;La Liga
23.05.2023;R. Sociedad;Almeria;1;0;La Liga
23.05.2023;R. Valladolid;Barcelona;3;1;La Liga
24.05.2023;Elche;Sevilla;1;1;La Liga
24.05.2023;Villarreal;Cadiz;2;0;La Liga
24.05.2023;Real Madrid;Rayo Vallecano;2;1;La Liga
24.05.2023;Real Betis;Getafe;0;1;La Liga
24.05.2023;Espanyol;Atl. Madrid;3;3;La Liga
25.05.2023;Mallorca;Valencia;1;0;La Liga
25.05.2023;Osasuna;Ath. Bilbao;2;0;La Liga
19.05.2023;Cadiz;R. Valladolid;2;0;La Liga
20.05.2023;Girona;Villarreal;1;2;La Liga
20.05.2023;Ath. Bilbao;Celta Vigo;2;1;La Liga
20.05.2023;Almeria;Mallorca;3;0;La Liga
20.05.2023;Getafe;Elche;1;1;La Liga
20.05.2023;Barcelona;R. Sociedad;1;2;La Liga
21.05.2023;Rayo Vallecano;Espanyol;1;2;La Liga
21.05.2023;Atl. Madrid;Osasuna;3;0;La Liga
21.05.2023;Valencia;Real Madrid;1;0;La Liga
21.05.2023;Sevilla;Real Betis;0;0;La Liga
12.05.2023;Mallorca;Cadiz;1;0;La Liga
13.05.2023;R. Sociedad;Girona;2;2;La Liga
13.05.2023;Osasuna;Almeria;3;1;La Liga
13.05.2023;Villarreal;Ath. Bilbao;5;1;La Liga
13.05.2023;Real Madrid;Getafe;1;0;La Liga
14.05.2023;Celta Vigo;Valencia;1;2;La Liga
14.05.2023;Elche;Atl. Madrid;1;0;La Liga
14.05.2023;R. Valladolid;Sevilla;0;3;La Liga
14.05.2023;Espanyol;Barcelona;2;4;La Liga
15.05.2023;Real Betis;Rayo Vallecano;3;1;La Liga
02.05.2023;Barcelona;Osasuna;1;0;La Liga
