date;home_team;away_team;home_score;away_score;League
01.06.2013;Real Madrid;Osasuna;4;2;La Liga
01.06.2013;Barcelona;Malaga;4;1;La Liga
01.06.2013;Granada;Getafe;2;0;La Liga
01.06.2013;Sevilla;Valencia;4;3;La Liga
01.06.2013;Deportivo;R. Sociedad;0;1;La Liga
01.06.2013;Celta Vigo;Espanyol;1;0;La Liga
01.06.2013;Mallorca;R. Valladolid;4;2;La Liga
01.06.2013;Real Zaragoza;Atl. Madrid;1;3;La Liga
01.06.2013;Levante;Real Betis;1;1;La Liga
01.06.2013;Rayo Vallecano;Ath. Bilbao;2;2;La Liga
26.05.2013;Getafe;Rayo Vallecano;1;2;La Liga
26.05.2013;Valencia;Granada;1;0;La Liga
26.05.2013;Osasuna;Sevilla;2;1;La Liga
26.05.2013;R. Sociedad;Real Madrid;3;3;La Liga
26.05.2013;Malaga;Deportivo;3;1;La Liga
26.05.2013;Espanyol;Barcelona;0;2;La Liga
26.05.2013;R. Valladolid;Celta Vigo;0;2;La Liga
26.05.2013;Atl. Madrid;Mallorca;0;0;La Liga
26.05.2013;Real Betis;Real Zaragoza;4;0;La Liga
26.05.2013;Ath. Bilbao;Levante;0;1;La Liga
08.05.2013;Celta Vigo;Atl. Madrid;1;3;La Liga
08.05.2013;Real Madrid;Malaga;6;2;La Liga
18.05.2013;Getafe;Valencia;0;1;La Liga
18.05.2013;Granada;Osasuna;3;0;La Liga
18.05.2013;Sevilla;R. Sociedad;1;2;La Liga
19.05.2013;Levante;Rayo Vallecano;2;3;La Liga
19.05.2013;Deportivo;Espanyol;2;0;La Liga
19.05.2013;Real Zaragoza;Ath. Bilbao;1;2;La Liga
19.05.2013;Barcelona;R. Valladolid;2;1;La Liga
20.05.2013;Mallorca;Real Betis;1;0;La Liga
10.05.2013;Levante;Real Zaragoza;0;0;La Liga
11.05.2013;Ath. Bilbao;Mallorca;2;1;La Liga
11.05.2013;R. Valladolid;Deportivo;1;0;La Liga
11.05.2013;Osasuna;Getafe;1;0;La Liga
11.05.2013;Espanyol;Real Madrid;1;1;La Liga
12.05.2013;Rayo Vallecano;Valencia;0;4;La Liga
12.05.2013;Real Betis;Celta Vigo;1;0;La Liga
12.05.2013;Atl. Madrid;Barcelona;1;2;La Liga
12.05.2013;Malaga;Sevilla;0;0;La Liga
13.05.2013;R. Sociedad;Granada;2;2;La Liga
03.05.2013;Celta Vigo;Ath. Bilbao;1;1;La Liga
04.05.2013;Valencia;Osasuna;4;0;La Liga
04.05.2013;Granada;Malaga;1;0;La Liga
04.05.2013;Real Madrid;R. Valladolid;4;3;La Liga
04.05.2013;Deportivo;Atl. Madrid;0;0;La Liga
05.05.2013;Mallorca;Levante;1;1;La Liga
05.05.2013;Real Zaragoza;Rayo Vallecano;3;0;La Liga
05.05.2013;Sevilla;Espanyol;3;0;La Liga
05.05.2013;Barcelona;Real Betis;4;2;La Liga
06.05.2013;Getafe;R. Sociedad;2;1;La Liga
26.04.2013;Rayo Vallecano;Osasuna;2;2;La Liga
27.04.2013;Levante;Celta Vigo;0;1;La Liga
27.04.2013;Ath. Bilbao;Barcelona;2;2;La Liga
27.04.2013;Atl. Madrid;Real Madrid;1;2;La Liga
27.04.2013;Real Zaragoza;Mallorca;3;2;La Liga
28.04.2013;Espanyol;Granada;0;1;La Liga
28.04.2013;Malaga;Getafe;2;1;La Liga
28.04.2013;R. Valladolid;Sevilla;1;1;La Liga
28.04.2013;R. Sociedad;Valencia;4;2;La Liga
29.04.2013;Real Betis;Deportivo;1;1;La Liga
19.04.2013;Mallorca;Rayo Vallecano;1;1;La Liga
20.04.2013;Granada;R. Valladolid;1;1;La Liga
20.04.2013;Real Madrid;Real Betis;3;1;La Liga
20.04.2013;Barcelona;Levante;1;0;La Liga
20.04.2013;Valencia;Malaga;5;1;La Liga
21.04.2013;Getafe;Espanyol;0;2;La Liga
21.04.2013;Deportivo;Ath. Bilbao;1;1;La Liga
