date;home_team;away_team;home_score;away_score;League;weather;wind;temperature;wind_speed;humidity;pressure
30.01.2000;Gaziantepspor;Galatasaray;0;1;Süper Lig;Fair;S;39 °F;3 mph;81 %;30.08 in
21.01.2000;Denizlispor;Fenerbahçe;1;1;Süper Lig;Fair;WNW;30 °F;7 mph;51 %;30.05 in
22.01.2000;Gaziantepspor;Adanaspor;1;1;Süper Lig;Mostly Cloudy / Windy;SW;41 °F;22 mph;76 %;29.64 in
23.01.2000;Trabzonspor;Ankaragücü;3;1;Süper Lig;Mostly Cloudy;WSW;32 °F;13 mph;100 %;30.02 in
23.01.2000;Gençlerbirliği;Samsunspor;1;0;Süper Lig;Partly Cloudy;CALM;0 °F;0 mph;60 %;30.02 in
23.01.2000;İstanbulspor;Galatasaray;0;0;Süper Lig;Partly Cloudy;CALM;0 °F;0 mph;60 %;30.02 in
23.01.2000;Altay;Antalyaspor;2;0;Süper Lig;Partly Cloudy;CALM;0 °F;0 mph;60 %;30.02 in
23.01.2000;Beşiktaş;Erzurumspor;2;0;Süper Lig;Partly Cloudy;CALM;0 °F;0 mph;60 %;30.02 in
23.01.2000;Kocaelispor;Bursaspor;3;2;Süper Lig;Partly Cloudy;CALM;0 °F;0 mph;60 %;30.02 in
02.02.2000;Vanspor;Göztepe;1;0;Süper Lig;Fair;CALM;46 °F;0 mph;76 %;30.23 in
14.01.2000;Samsunspor;Trabzonspor;0;0;Süper Lig;Fair;WSW;63 °F;4 mph;54 %;30.06 in
15.01.2000;Ankaragücü;Gaziantepspor;1;1;Süper Lig;Mostly Cloudy;VAR;65 °F;7 mph;73 %;29.98 in
15.01.2000;Bursaspor;Vanspor;3;2;Süper Lig;Mostly Cloudy;VAR;68 °F;3 mph;89 %;29.98 in
15.01.2000;Galatasaray;Altay;3;1;Süper Lig;Mostly Cloudy;VAR;78 °F;9 mph;70 %;29.98 in
15.01.2000;Antalyaspor;Kocaelispor;3;0;Süper Lig;Mostly Cloudy;VAR;58 °F;3 mph;67 %;29.98 in
16.01.2000;Erzurumspor;Gençlerbirliği;1;1;Süper Lig;Mostly Cloudy;VAR;54 °F;9 mph;84 %;29.98 in
16.01.2000;Adanaspor;İstanbulspor;2;1;Süper Lig;Mostly Cloudy;VAR;59 °F;10 mph;90 %;29.98 in
16.01.2000;Göztepe;Denizlispor;2;4;Süper Lig;Mostly Cloudy;VAR;70 °F;2 mph;87 %;29.98 in
16.01.2000;Fenerbahçe;Beşiktaş;2;1;Süper Lig;Mostly Cloudy;VAR;78 °F;9 mph;73 %;29.98 in
07.01.2000;Beşiktaş;Göztepe;2;1;Süper Lig;Mostly Cloudy;VAR;78 °F;3 mph;67 %;29.98 in
08.01.2000;Erzurumspor;Samsunspor;1;0;Süper Lig;Mostly Cloudy;VAR;55 °F;9 mph;92 %;29.98 in
08.01.2000;Denizlispor;Bursaspor;1;3;Süper Lig;Mostly Cloudy;VAR;51 °F;2 mph;92 %;29.98 in
08.01.2000;Gençlerbirliği;Fenerbahçe;2;2;Süper Lig;Mostly Cloudy;VAR;66 °F;6 mph;96 %;29.98 in
08.01.2000;Altay;Adanaspor;2;1;Süper Lig;Mostly Cloudy;VAR;76 °F;7 mph;96 %;29.98 in
09.01.2000;Vanspor;Antalyaspor;2;4;Süper Lig;Mostly Cloudy;VAR;63 °F;10 mph;99 %;29.98 in
09.01.2000;Trabzonspor;Gaziantepspor;0;0;Süper Lig;Mostly Cloudy;VAR;50 °F;10 mph;91 %;29.98 in
09.01.2000;İstanbulspor;Ankaragücü;2;6;Süper Lig;Mostly Cloudy;VAR;65 °F;6 mph;75 %;29.98 in
09.01.2000;Kocaelispor;Galatasaray;1;2;Süper Lig;Mostly Cloudy;VAR;65 °F;4 mph;65 %;29.98 in
