date;home_team;away_team;home_score;away_score;League;weather;wind;temperature;wind_speed;humidity;pressure
13.05.2006;Sivasspor;Ankaragücü;3;1;Süper Lig;Fair;WSW;50 °F;7 mph;50 %;30.02 in
13.05.2006;Manisaspor;Konyaspor;0;0;Süper Lig;Partly Cloudy;ENE;59 °F;5 mph;63 %;30.02 in
14.05.2006;Denizlispor;Fenerbahçe;1;1;Süper Lig;Fair;CALM;59 °F;0 mph;59 %;30.05 in
14.05.2006;Erciyesspor;Sincan Bld Ankaraspor;0;1;Süper Lig;Fair;CALM;59 °F;0 mph;59 %;30.05 in
14.05.2006;Galatasaray;Kayserispor;3;0;Süper Lig;Fair;CALM;59 °F;0 mph;59 %;30.05 in
14.05.2006;Gaziantepspor;Malatyaspor;1;0;Süper Lig;Fair;CALM;59 °F;0 mph;59 %;30.05 in
14.05.2006;Samsunspor;Diyarbakırspor;1;0;Süper Lig;Cloudy;NW;57 °F;5 mph;82 %;30.15 in
14.05.2006;Gençlerbirliği;Ç. Rizespor;1;3;Süper Lig;Fair;CALM;59 °F;0 mph;59 %;30.05 in
14.05.2006;Trabzonspor;Beşiktaş;1;2;Süper Lig;Mostly Cloudy;W;55 °F;6 mph;100 %;29.99 in
06.05.2006;Sincan Bld Ankaraspor;Trabzonspor;0;2;Süper Lig;Mostly Cloudy;NNE;52 °F;8 mph;71 %;29.99 in
06.05.2006;Diyarbakırspor;Gençlerbirliği;0;2;Süper Lig;Mostly Cloudy;NNE;52 °F;8 mph;71 %;29.99 in
06.05.2006;Kayserispor;Manisaspor;7;2;Süper Lig;Partly Cloudy;VAR;52 °F;2 mph;94 %;26.41 in
06.05.2006;Malatyaspor;Samsunspor;3;0;Süper Lig;Mostly Cloudy;NNE;52 °F;8 mph;71 %;29.99 in
06.05.2006;Ç. Rizespor;Denizlispor;1;2;Süper Lig;Mostly Cloudy;CALM;50 °F;0 mph;94 %;29.99 in
07.05.2006;Ankaragücü;Gaziantepspor;2;1;Süper Lig;Fair;NNE;52 °F;9 mph;71 %;29.94 in
07.05.2006;Konyaspor;Sivasspor;2;1;Süper Lig;Fair;WSW;52 °F;14 mph;54 %;29.88 in
07.05.2006;Beşiktaş;Galatasaray;1;2;Süper Lig;Fair;NNE;52 °F;9 mph;71 %;29.94 in
07.05.2006;Fenerbahçe;Erciyesspor;4;2;Süper Lig;Fair;NNE;52 °F;9 mph;71 %;29.94 in
28.04.2006;Manisaspor;Beşiktaş;0;1;Süper Lig;Fair;NE;52 °F;14 mph;54 %;29.88 in
29.04.2006;Ankaragücü;Malatyaspor;0;1;Süper Lig;Partly Cloudy;NE;52 °F;15 mph;71 %;29.76 in
29.04.2006;Denizlispor;Diyarbakırspor;1;0;Süper Lig;Partly Cloudy;NE;52 °F;15 mph;71 %;29.76 in
29.04.2006;Erciyesspor;Ç. Rizespor;0;2;Süper Lig;Partly Cloudy;NE;52 °F;15 mph;71 %;29.76 in
29.04.2006;Galatasaray;Sincan Bld Ankaraspor;4;0;Süper Lig;Partly Cloudy;NE;52 °F;15 mph;71 %;29.76 in
29.04.2006;Gaziantepspor;Konyaspor;2;0;Süper Lig;Partly Cloudy;NE;52 °F;15 mph;71 %;29.76 in
29.04.2006;Samsunspor;Gençlerbirliği;2;0;Süper Lig;Fair;WSW;51 °F;10 mph;54 %;29.88 in
29.04.2006;Trabzonspor;Fenerbahçe;2;3;Süper Lig;Partly Cloudy;SE;46 °F;3 mph;81 %;29.84 in
30.04.2006;Sivasspor;Kayserispor;0;5;Süper Lig;Fair;WSW;42 °F;5 mph;82 %;29.84 in
22.04.2006;Sincan Bld Ankaraspor;Manisaspor;3;1;Süper Lig;Fair;NW;54 °F;6 mph;72 %;29.88 in
22.04.2006;Fenerbahçe;Galatasaray;4;0;Süper Lig;Fair;NW;54 °F;6 mph;72 %;29.88 in
23.04.2006;Diyarbakırspor;Erciyesspor;2;1;Süper Lig;Fair;N;52 °F;13 mph;76 %;29.79 in
23.04.2006;Gençlerbirliği;Denizlispor;3;3;Süper Lig;Fair;N;52 °F;13 mph;76 %;29.79 in
23.04.2006;Kayserispor;Gaziantepspor;0;1;Süper Lig;Partly Cloudy;VAR;48 °F;2 mph;93 %;26.36 in
23.04.2006;Konyaspor;Malatyaspor;0;2;Süper Lig;Mostly Cloudy;S;50 °F;3 mph;82 %;26.38 in
23.04.2006;Ç. Rizespor;Trabzonspor;1;6;Süper Lig;Mostly Cloudy;SSE;54 °F;5 mph;88 %;29.78 in
23.04.2006;Samsunspor;Ankaragücü;2;1;Süper Lig;Fair;WSW;56 °F;5 mph;80 %;30.06 in
23.04.2006;Beşiktaş;Sivasspor;0;1;Süper Lig;Fair;N;52 °F;13 mph;76 %;29.79 in
15.04.2006;Trabzonspor;Diyarbakırspor;3;0;Süper Lig;Mostly Cloudy;VAR;55 °F;2 mph;88 %;29.81 in
15.04.2006;Denizlispor;Samsunspor;1;2;Süper Lig;Fair;NNW;48 °F;6 mph;82 %;29.94 in
15.04.2006;Malatyaspor;Kayserispor;2;1;Süper Lig;Fair;NNW;48 °F;6 mph;82 %;29.94 in
15.04.2006;Manisaspor;Fenerbahçe;5;3;Süper Lig;Fair;NNW;48 °F;6 mph;82 %;29.94 in
16.04.2006;Ankaragücü;Konyaspor;3;0;Süper Lig;Fair;WSW;52 °F;3 mph;76 %;29.99 in
16.04.2006;Erciyesspor;Gençlerbirliği;2;0;Süper Lig;Fair;WSW;52 °F;3 mph;76 %;29.99 in
