date;home_team;away_team;home_score;away_score;League
09.08.2002;B. Dortmund;Hertha Berlin;2;2;Bundesliga
10.08.2002;Stuttgart;Kaiserslautern;1;1;Bundesliga
10.08.2002;Schalke 04;Wolfsburg;1;0;Bundesliga
10.08.2002;M'gladbach;Bayern Münih;0;0;Bundesliga
10.08.2002;Nürnberg;Bochum;1;3;Bundesliga
10.08.2002;E. Cottbus;B. Leverkusen;1;1;Bundesliga
11.08.2002;Hamburg;Hannover 96;2;1;Bundesliga
11.08.2002;A. Bielefeld;Werder Bremen;3;0;Bundesliga
14.08.2002;1860 München;H. Rostock;0;2;Bundesliga
17.08.2002;Bayern Münih;A. Bielefeld;6;2;Bundesliga
17.08.2002;B. Leverkusen;B. Dortmund;1;1;Bundesliga
17.08.2002;Bochum;E. Cottbus;5;0;Bundesliga
17.08.2002;H. Rostock;Nürnberg;2;0;Bundesliga
17.08.2002;Hannover 96;1860 München;1;3;Bundesliga
17.08.2002;Kaiserslautern;Schalke 04;1;3;Bundesliga
17.08.2002;Hertha Berlin;Stuttgart;1;1;Bundesliga
18.08.2002;Werder Bremen;Hamburg;2;1;Bundesliga
18.08.2002;Wolfsburg;M'gladbach;1;0;Bundesliga
24.08.2002;B. Leverkusen;Bochum;2;4;Bundesliga
24.08.2002;B. Dortmund;Stuttgart;3;1;Bundesliga
24.08.2002;Hamburg;Bayern Münih;0;3;Bundesliga
24.08.2002;M'gladbach;Kaiserslautern;3;0;Bundesliga
24.08.2002;A. Bielefeld;Wolfsburg;1;0;Bundesliga
24.08.2002;1860 München;Werder Bremen;3;0;Bundesliga
24.08.2002;E. Cottbus;H. Rostock;0;4;Bundesliga
25.08.2002;Schalke 04;Hertha Berlin;0;0;Bundesliga
25.08.2002;Nürnberg;Hannover 96;3;1;Bundesliga
10.09.2002;Werder Bremen;Nürnberg;4;1;Bundesliga
10.09.2002;Bayern Münih;1860 München;3;1;Bundesliga
10.09.2002;Bochum;B. Dortmund;0;0;Bundesliga
10.09.2002;Hertha Berlin;M'gladbach;1;2;Bundesliga
11.09.2002;Stuttgart;Schalke 04;1;1;Bundesliga
